date,CHFEUR,CHFJPY,CHFSEK,CHFAUD,USDCHF,USDGBP,USDCAD,USDEUR,USDJPY,USDSEK,USDAUD
2012-12-30,0,43,57,0,4,3,19,7,38,15,46
2013-01-06,0,19,0,0,11,0,12,27,43,0,21
2013-01-13,6,38,0,59,12,3,17,26,39,0,0
2013-01-20,0,19,0,0,8,3,14,7,45,0,21
2013-01-27,6,0,50,0,8,3,25,26,42,14,60
2013-02-03,6,19,0,0,14,8,14,19,55,14,20
2013-02-10,7,19,0,0,9,9,12,13,56,28,0
2013-02-17,0,0,100,0,12,6,25,19,39,14,20
2013-02-24,13,18,50,0,9,11,20,13,44,0,30
2013-03-03,6,19,50,0,9,6,20,13,42,27,60
2013-03-10,0,18,0,0,13,8,28,25,45,13,0
2013-03-17,12,18,0,0,4,8,17,25,47,13,29
2013-03-24,0,0,0,0,7,3,3,27,23,14,20
2013-03-31,0,0,0,0,9,6,17,13,63,27,20
2013-04-07,0,27,0,0,6,5,28,38,97,0,39
2013-04-14,0,0,50,0,9,3,14,32,63,13,50
2013-04-21,19,19,0,0,4,11,8,13,52,14,20
2013-04-28,6,0,0,0,14,3,17,26,49,27,0
2013-05-05,0,0,0,0,6,0,17,39,73,14,0
2013-05-12,12,27,0,0,8,3,11,0,60,0,78
2013-05-19,6,18,0,0,15,3,14,13,63,13,59
2013-05-26,6,0,0,0,17,3,17,32,53,13,69
2013-06-02,12,18,49,0,10,5,17,25,97,26,78
2013-06-09,6,36,0,0,12,3,28,31,84,27,29
2013-06-16,6,37,0,0,15,11,25,19,63,67,20
2013-06-23,0,0,0,0,11,8,28,45,53,27,30
2013-06-30,13,38,0,0,5,14,46,7,55,27,50
2013-07-07,0,19,0,0,14,6,14,20,38,14,61
2013-07-14,6,19,0,59,8,3,9,0,44,41,41
2013-07-21,0,19,0,0,5,3,17,13,43,0,40
2013-07-28,0,19,0,0,6,8,11,7,47,27,100
2013-08-04,6,38,0,0,8,8,23,20,39,14,51
2013-08-11,7,19,0,0,17,0,20,13,50,28,61
2013-08-18,0,37,99,0,11,6,14,13,30,27,50
2013-08-25,12,18,0,0,2,3,11,25,38,52,38
2013-09-01,0,18,0,0,15,3,19,37,49,0,19
2013-09-08,0,17,0,0,12,5,11,18,41,0,84
2013-09-15,0,35,0,0,6,3,8,24,39,13,47
2013-09-22,0,35,0,0,6,5,16,18,25,0,19
2013-09-29,6,26,47,0,13,0,8,24,47,13,28
2013-10-06,18,17,0,0,10,10,3,24,24,13,56
2013-10-13,6,35,0,55,21,5,5,12,28,0,0
2013-10-20,0,17,0,0,18,5,10,6,30,0,37
2013-10-27,12,17,0,0,20,13,18,18,26,38,19
2013-11-03,0,34,0,0,11,3,23,41,32,25,27
2013-11-10,0,17,46,0,9,3,18,0,41,12,0
2013-11-17,0,59,0,0,16,3,13,0,36,37,36
2013-11-24,0,33,0,0,8,10,20,6,36,37,18
2013-12-01,0,33,44,0,8,5,17,23,31,0,27
2013-12-08,6,0,0,52,15,15,36,6,42,25,36
2013-12-15,6,17,0,0,18,10,16,12,42,13,0
2013-12-22,0,76,0,0,11,0,18,7,29,14,21
2013-12-29,0,18,0,56,16,8,16,19,33,13,39
2014-01-05,0,25,0,0,18,7,20,28,35,0,53
2014-01-12,6,16,0,0,11,7,30,28,35,24,26
2014-01-19,11,16,0,0,20,5,29,39,54,12,34
2014-01-26,6,16,0,0,15,0,37,22,52,12,0
2014-02-02,17,17,0,0,9,5,21,12,59,0,18
2014-02-09,5,16,0,0,9,9,19,16,31,0,17
2014-02-16,0,16,0,0,12,9,31,11,44,34,34
2014-02-23,0,0,0,0,10,7,26,28,23,23,43
2014-03-02,5,0,0,0,18,5,34,39,35,0,26
2014-03-09,0,16,0,0,11,7,10,39,34,23,17
2014-03-16,5,16,0,49,11,2,24,27,27,0,17
2014-03-23,5,0,0,0,12,5,27,22,36,0,17
2014-03-30,5,16,43,49,17,2,14,17,35,12,0
2014-04-06,0,16,0,0,14,0,22,11,36,0,51
2014-04-13,6,0,0,52,13,15,18,17,33,12,36
2014-04-20,6,0,44,0,5,2,17,6,26,12,18
2014-04-27,11,0,0,0,12,10,20,17,31,0,52
2014-05-04,5,16,86,0,11,5,17,28,32,23,34
2014-05-11,11,32,0,0,7,12,22,22,28,0,17
2014-05-18,0,0,0,0,14,3,18,18,23,0,36
2014-05-25,0,36,0,0,12,13,22,6,19,0,38
2014-06-01,6,18,0,0,5,8,32,18,25,26,19
2014-06-08,0,18,0,0,10,5,11,31,23,0,0
2014-06-15,0,0,0,56,14,3,14,6,17,13,19
2014-06-22,6,0,48,0,6,8,8,31,20,13,38
2014-06-29,0,18,0,0,10,3,33,13,36,53,29
2014-07-06,0,0,0,56,10,3,16,19,30,40,39
2014-07-13,6,18,0,0,10,3,19,13,24,13,19
2014-07-20,0,18,0,0,8,11,8,44,11,0,19
2014-07-27,0,0,0,0,4,3,19,19,22,13,20
2014-08-03,7,0,0,0,11,0,17,7,32,14,20
2014-08-10,0,18,0,0,10,5,19,6,20,0,39
2014-08-17,0,18,48,0,11,3,25,37,23,13,19
2014-08-24,0,0,0,0,12,3,13,18,19,13,0
2014-08-31,0,17,0,0,11,5,21,18,25,25,37
2014-09-07,0,17,0,0,18,18,18,18,37,25,0
2014-09-14,6,17,0,0,15,0,23,23,44,12,18
2014-09-21,0,17,0,0,15,8,8,29,34,12,0
2014-09-28,0,17,0,0,6,0,18,41,38,25,46
2014-10-05,0,17,0,0,14,8,36,29,37,0,18
2014-10-12,0,17,0,0,11,15,22,52,37,24,35
2014-10-19,0,0,45,0,9,2,10,23,26,12,35
2014-10-26,6,33,0,0,7,2,25,29,46,0,18
2014-11-02,0,0,0,0,9,2,22,17,55,0,26
2014-11-09,0,24,0,0,12,10,32,17,48,0,26
2014-11-16,6,33,0,0,9,5,40,29,72,24,18
2014-11-23,6,0,43,0,12,5,5,33,48,0,17
2014-11-30,5,32,0,0,19,5,17,11,65,12,51
2014-12-07,0,24,44,0,11,5,22,39,60,35,26
2014-12-14,0,16,0,0,17,2,33,29,76,24,71
2014-12-21,0,0,50,0,5,3,27,26,51,26,29
2014-12-28,0,0,47,0,9,3,27,43,49,0,28
2015-01-04,0,16,42,0,13,12,21,43,46,11,51
2015-01-11,100,100,83,48,100,21,23,75,50,34,33
2015-01-18,42,46,41,47,49,7,49,80,36,33,41
2015-01-25,31,0,41,0,31,7,53,68,30,22,24
2015-02-01,42,31,0,0,22,2,65,32,36,11,74
2015-02-08,26,0,41,47,14,14,32,21,40,100,33
2015-02-15,11,16,42,0,14,2,43,38,41,0,50
2015-02-22,10,0,0,47,11,9,39,52,31,0,32
2015-03-01,5,15,82,0,10,9,37,26,21,22,32
2015-03-08,10,15,0,47,17,20,44,68,44,77,48
2015-03-15,20,15,0,0,18,11,25,78,20,33,65
2015-03-22,0,16,0,0,14,5,45,67,27,12,35
