date,Omni,isPartial
2017-11-22,86,False
2017-11-23,66,False
2017-11-24,82,False
2017-11-25,79,False
2017-11-26,69,False
2017-11-27,87,False
2017-11-28,82,False
2017-11-29,87,False
2017-11-30,94,False
2017-12-01,83,False
2017-12-02,75,False
2017-12-03,77,False
2017-12-04,87,False
2017-12-05,87,False
2017-12-06,100,False
2017-12-07,93,False
2017-12-08,84,False
2017-12-09,79,False
2017-12-10,75,False
2017-12-11,87,False
2017-12-12,93,False
2017-12-13,81,False
2017-12-14,93,False
2017-12-15,93,False
2017-12-16,72,False
2017-12-17,69,False
2017-12-18,97,False
2017-12-19,88,False
