date,EURAUD,isPartial
2012-12-30,61,False
2013-01-06,63,False
2013-01-13,31,False
2013-01-20,46,False
2013-01-27,76,False
2013-02-03,30,False
2013-02-10,39,False
2013-02-17,15,False
2013-02-24,30,False
2013-03-03,23,False
2013-03-10,15,False
2013-03-17,15,False
2013-03-24,23,False
2013-03-31,30,False
2013-04-07,30,False
2013-04-14,30,False
2013-04-21,38,False
2013-04-28,46,False
2013-05-05,15,False
2013-05-12,30,False
2013-05-19,37,False
2013-05-26,52,False
2013-06-02,52,False
2013-06-09,52,False
2013-06-16,67,False
2013-06-23,45,False
2013-06-30,61,False
2013-07-07,61,False
2013-07-14,70,False
2013-07-21,53,False
2013-07-28,30,False
2013-08-04,46,False
2013-08-11,31,False
2013-08-18,30,False
2013-08-25,51,False
2013-09-01,44,False
2013-09-08,28,False
2013-09-15,21,False
2013-09-22,36,False
2013-09-29,64,False
2013-10-06,50,False
2013-10-13,57,False
2013-10-20,28,False
2013-10-27,21,False
2013-11-03,27,False
2013-11-10,28,False
2013-11-17,48,False
2013-11-24,75,False
2013-12-01,27,False
2013-12-08,75,False
2013-12-15,49,False
2013-12-22,78,False
2013-12-29,37,False
2014-01-05,33,False
2014-01-12,66,False
2014-01-19,46,False
2014-01-26,32,False
2014-02-02,27,False
2014-02-09,51,False
2014-02-16,32,False
2014-02-23,13,False
2014-03-02,13,False
2014-03-09,52,False
2014-03-16,39,False
2014-03-23,51,False
2014-03-30,71,False
2014-04-06,26,False
2014-04-13,20,False
2014-04-20,47,False
2014-04-27,65,False
2014-05-04,52,False
2014-05-11,13,False
2014-05-18,75,False
2014-05-25,43,False
2014-06-01,65,False
2014-06-08,29,False
2014-06-15,51,False
2014-06-22,36,False
2014-06-29,30,False
2014-07-06,15,False
2014-07-13,52,False
2014-07-20,30,False
2014-07-27,22,False
2014-08-03,31,False
2014-08-10,29,False
2014-08-17,44,False
2014-08-24,42,False
2014-08-31,42,False
2014-09-07,55,False
2014-09-14,69,False
2014-09-21,68,False
2014-09-28,21,False
2014-10-05,34,False
2014-10-12,13,False
2014-10-19,13,False
2014-10-26,27,False
2014-11-02,13,False
2014-11-09,39,False
