date,Stratis,isPartial
2017-11-22,16,False
2017-11-23,24,False
2017-11-24,12,False
2017-11-25,29,False
2017-11-26,9,False
2017-11-27,27,False
2017-11-28,61,False
2017-11-29,51,False
2017-11-30,35,False
2017-12-01,43,False
2017-12-02,27,False
2017-12-03,27,False
2017-12-04,38,False
2017-12-05,43,False
2017-12-06,43,False
2017-12-07,100,False
2017-12-08,43,False
2017-12-09,41,False
2017-12-10,40,False
2017-12-11,56,False
2017-12-12,74,False
2017-12-13,47,False
2017-12-14,48,False
2017-12-15,51,False
2017-12-16,44,False
2017-12-17,63,False
2017-12-18,66,False
2017-12-19,66,False
