date,Lisk,isPartial
2017-11-22,90,False
2017-11-23,71,False
2017-11-24,38,False
2017-11-25,35,False
2017-11-26,36,False
2017-11-27,42,False
2017-11-28,52,False
2017-11-29,49,False
2017-11-30,38,False
2017-12-01,28,False
2017-12-02,29,False
2017-12-03,24,False
2017-12-04,36,False
2017-12-05,67,False
2017-12-06,32,False
2017-12-07,41,False
2017-12-08,29,False
2017-12-09,31,False
2017-12-10,36,False
2017-12-11,42,False
2017-12-12,50,False
2017-12-13,45,False
2017-12-14,59,False
2017-12-15,39,False
2017-12-16,35,False
2017-12-17,79,False
2017-12-18,100,False
2017-12-19,78,False
