date,Zcash,isPartial
2017-11-22,35,False
2017-11-23,34,False
2017-11-24,36,False
2017-11-25,45,False
2017-11-26,28,False
2017-11-27,46,False
2017-11-28,52,False
2017-11-29,46,False
2017-11-30,42,False
2017-12-01,36,False
2017-12-02,43,False
2017-12-03,51,False
2017-12-04,33,False
2017-12-05,38,False
2017-12-06,58,False
2017-12-07,75,False
2017-12-08,64,False
2017-12-09,68,False
2017-12-10,61,False
2017-12-11,59,False
2017-12-12,92,False
2017-12-13,76,False
2017-12-14,83,False
2017-12-15,70,False
2017-12-16,84,False
2017-12-17,87,False
2017-12-18,89,False
2017-12-19,100,False
