date,MonaCoin,isPartial
2017-11-22,7,False
2017-11-23,1,False
2017-11-24,2,False
2017-11-25,7,False
2017-11-26,9,False
2017-11-27,15,False
2017-11-28,19,False
2017-11-29,8,False
2017-11-30,9,False
2017-12-01,9,False
2017-12-02,7,False
2017-12-03,7,False
2017-12-04,10,False
2017-12-05,44,False
2017-12-06,100,False
2017-12-07,59,False
2017-12-08,46,False
2017-12-09,24,False
2017-12-10,42,False
2017-12-11,32,False
2017-12-12,24,False
2017-12-13,18,False
2017-12-14,27,False
2017-12-15,25,False
2017-12-16,11,False
2017-12-17,14,False
2017-12-18,20,False
2017-12-19,15,False
