date,BitShares,isPartial
2017-11-22,27,False
2017-11-23,22,False
2017-11-24,21,False
2017-11-25,34,False
2017-11-26,24,False
2017-11-27,22,False
2017-11-28,22,False
2017-11-29,38,False
2017-11-30,19,False
2017-12-01,12,False
2017-12-02,21,False
2017-12-03,30,False
2017-12-04,31,False
2017-12-05,39,False
2017-12-06,47,False
2017-12-07,44,False
2017-12-08,28,False
2017-12-09,43,False
2017-12-10,24,False
2017-12-11,39,False
2017-12-12,35,False
2017-12-13,35,False
2017-12-14,55,False
2017-12-15,100,False
2017-12-16,78,False
2017-12-17,82,False
2017-12-18,54,False
2017-12-19,50,False
2017-12-20,78,False
