date,Dogecoin,isPartial
2017-11-22,17,False
2017-11-23,28,False
2017-11-24,23,False
2017-11-25,15,False
2017-11-26,18,False
2017-11-27,22,False
2017-11-28,20,False
2017-11-29,34,False
2017-11-30,23,False
2017-12-01,22,False
2017-12-02,21,False
2017-12-03,21,False
2017-12-04,25,False
2017-12-05,28,False
2017-12-06,32,False
2017-12-07,42,False
2017-12-08,37,False
2017-12-09,36,False
2017-12-10,29,False
2017-12-11,38,False
2017-12-12,68,False
2017-12-13,64,False
2017-12-14,58,False
2017-12-15,51,False
2017-12-16,81,False
2017-12-17,100,False
2017-12-18,71,False
2017-12-19,60,False
