date,CADUSD,isPartial
2012-12-30,8,False
2013-01-06,10,False
2013-01-13,7,False
2013-01-20,7,False
2013-01-27,0,False
2013-02-03,7,False
2013-02-10,13,False
2013-02-17,16,False
2013-02-24,13,False
2013-03-03,20,False
2013-03-10,13,False
2013-03-17,16,False
2013-03-24,10,False
2013-03-31,13,False
2013-04-07,13,False
2013-04-14,7,False
2013-04-21,10,False
2013-04-28,7,False
2013-05-05,7,False
2013-05-12,22,False
2013-05-19,10,False
2013-05-26,39,False
2013-06-02,10,False
2013-06-09,6,False
2013-06-16,13,False
2013-06-23,19,False
2013-06-30,27,False
2013-07-07,20,False
2013-07-14,23,False
2013-07-21,13,False
2013-07-28,13,False
2013-08-04,13,False
2013-08-11,23,False
2013-08-18,13,False
2013-08-25,9,False
2013-09-01,19,False
2013-09-08,25,False
2013-09-15,9,False
2013-09-22,19,False
2013-09-29,25,False
2013-10-06,25,False
2013-10-13,19,False
2013-10-20,21,False
2013-10-27,21,False
2013-11-03,21,False
2013-11-10,15,False
2013-11-17,24,False
2013-11-24,12,False
2013-12-01,12,False
2013-12-08,12,False
2013-12-15,15,False
2013-12-22,7,False
2013-12-29,13,False
2014-01-05,12,False
2014-01-12,37,False
2014-01-19,40,False
2014-01-26,25,False
2014-02-02,24,False
2014-02-09,22,False
2014-02-16,22,False
2014-02-23,25,False
2014-03-02,11,False
2014-03-09,6,False
2014-03-16,25,False
2014-03-23,33,False
2014-03-30,37,False
2014-04-06,17,False
2014-04-13,15,False
2014-04-20,12,False
2014-04-27,17,False
2014-05-04,25,False
2014-05-11,14,False
2014-05-18,9,False
2014-05-25,16,False
2014-06-01,12,False
2014-06-08,19,False
2014-06-15,51,False
2014-06-22,6,False
2014-06-29,13,False
2014-07-06,19,False
2014-07-13,35,False
2014-07-20,22,False
2014-07-27,19,False
2014-08-03,10,False
2014-08-10,19,False
2014-08-17,16,False
2014-08-24,15,False
2014-08-31,6,False
2014-09-07,21,False
2014-09-14,18,False
2014-09-21,9,False
2014-09-28,24,False
2014-10-05,12,False
2014-10-12,23,False
2014-10-19,9,False
2014-10-26,6,False
2014-11-02,9,False
2014-11-09,26,False
2014-11-16,23,False
2014-11-23,23,False
2014-11-30,17,False
2014-12-07,37,False
2014-12-14,26,False
2014-12-21,13,False
2014-12-28,12,False
2015-01-04,19,False
2015-01-11,38,False
2015-01-18,49,False
2015-01-25,40,False
2015-02-01,46,False
2015-02-08,35,False
2015-02-15,49,False
2015-02-22,18,False
2015-03-01,43,False
2015-03-08,37,False
2015-03-15,69,False
2015-03-22,29,False
2015-03-29,25,False
2015-04-05,30,False
2015-04-12,40,False
2015-04-19,21,False
2015-04-26,46,False
2015-05-03,38,False
2015-05-10,16,False
2015-05-17,27,False
2015-05-24,37,False
2015-05-31,16,False
2015-06-07,29,False
2015-06-14,24,False
2015-06-21,27,False
2015-06-28,22,False
2015-07-05,38,False
2015-07-12,54,False
2015-07-19,41,False
2015-07-26,21,False
2015-08-02,32,False
2015-08-09,35,False
2015-08-16,34,False
2015-08-23,42,False
2015-08-30,23,False
2015-09-06,34,False
2015-09-13,33,False
2015-09-20,36,False
2015-09-27,18,False
2015-10-04,20,False
2015-10-11,28,False
2015-10-18,30,False
2015-10-25,32,False
2015-11-01,27,False
2015-11-08,32,False
2015-11-15,27,False
2015-11-22,25,False
2015-11-29,27,False
2015-12-06,57,False
2015-12-13,56,False
2015-12-20,36,False
