date,RaiBlocks,isPartial
2017-11-22,0,False
2017-11-23,5,False
2017-11-24,7,False
2017-11-25,2,False
2017-11-26,4,False
2017-11-27,6,False
2017-11-28,6,False
2017-11-29,3,False
2017-11-30,5,False
2017-12-01,5,False
2017-12-02,3,False
2017-12-03,17,False
2017-12-04,19,False
2017-12-05,19,False
2017-12-06,23,False
2017-12-07,21,False
2017-12-08,14,False
2017-12-09,22,False
2017-12-10,37,False
2017-12-11,46,False
2017-12-12,77,False
2017-12-13,58,False
2017-12-14,100,False
2017-12-15,58,False
2017-12-16,28,False
2017-12-17,62,False
2017-12-18,63,False
2017-12-19,90,False
2017-12-20,97,False
