date,NAV Coin,isPartial
2017-11-22,6,False
2017-11-23,13,False
2017-11-24,6,False
2017-11-25,14,False
2017-11-26,28,False
2017-11-27,42,False
2017-11-28,24,False
2017-11-29,43,False
2017-11-30,12,False
2017-12-01,26,False
2017-12-02,29,False
2017-12-03,35,False
2017-12-04,79,False
2017-12-05,55,False
2017-12-06,100,False
2017-12-07,70,False
2017-12-08,52,False
2017-12-09,14,False
2017-12-10,63,False
2017-12-11,43,False
2017-12-12,55,False
2017-12-13,68,False
2017-12-14,32,False
2017-12-15,39,False
2017-12-16,22,False
2017-12-17,36,False
2017-12-18,57,False
2017-12-19,82,False
