date,Peercoin,isPartial
2017-11-22,8,False
2017-11-23,16,False
2017-11-24,16,False
2017-11-25,18,False
2017-11-26,13,False
2017-11-27,30,False
2017-11-28,38,False
2017-11-29,100,False
2017-11-30,61,False
2017-12-01,28,False
2017-12-02,49,False
2017-12-03,26,False
2017-12-04,42,False
2017-12-05,30,False
2017-12-06,54,False
2017-12-07,31,False
2017-12-08,32,False
2017-12-09,53,False
2017-12-10,26,False
2017-12-11,46,False
2017-12-12,57,False
2017-12-13,69,False
2017-12-14,44,False
2017-12-15,28,False
2017-12-16,54,False
2017-12-17,36,False
2017-12-18,55,False
2017-12-19,66,False
