date,Ubiq,isPartial
2017-11-22,41,False
2017-11-23,37,False
2017-11-24,34,False
2017-11-25,85,False
2017-11-26,34,False
2017-11-27,40,False
2017-11-28,27,False
2017-11-29,27,False
2017-11-30,14,False
2017-12-01,17,False
2017-12-02,28,False
2017-12-03,19,False
2017-12-04,24,False
2017-12-05,8,False
2017-12-06,30,False
2017-12-07,31,False
2017-12-08,26,False
2017-12-09,19,False
2017-12-10,15,False
2017-12-11,5,False
2017-12-12,52,False
2017-12-13,27,False
2017-12-14,70,False
2017-12-15,40,False
2017-12-16,74,False
2017-12-17,51,False
2017-12-18,39,False
2017-12-19,100,False
