date,Asch,isPartial
2017-11-22,66,False
2017-11-23,66,False
2017-11-24,54,False
2017-11-25,57,False
2017-11-26,50,False
2017-11-27,78,False
2017-11-28,90,False
2017-11-29,90,False
2017-11-30,74,False
2017-12-01,85,False
2017-12-02,33,False
2017-12-03,48,False
2017-12-04,75,False
2017-12-05,96,False
2017-12-06,81,False
2017-12-07,81,False
2017-12-08,73,False
2017-12-09,41,False
2017-12-10,45,False
2017-12-11,79,False
2017-12-12,66,False
2017-12-13,76,False
2017-12-14,87,False
2017-12-15,100,False
2017-12-16,53,False
2017-12-17,66,False
2017-12-18,65,False
2017-12-19,89,False
2017-12-20,84,False
