date,Aeon,isPartial
2017-11-22,67,False
2017-11-23,69,False
2017-11-24,88,False
2017-11-25,87,False
2017-11-26,85,False
2017-11-27,71,False
2017-11-28,78,False
2017-11-29,64,False
2017-11-30,77,False
2017-12-01,88,False
2017-12-02,89,False
2017-12-03,80,False
2017-12-04,64,False
2017-12-05,76,False
2017-12-06,66,False
2017-12-07,72,False
2017-12-08,85,False
2017-12-09,100,False
2017-12-10,91,False
2017-12-11,63,False
2017-12-12,61,False
2017-12-13,76,False
2017-12-14,69,False
2017-12-15,69,False
2017-12-16,100,False
2017-12-17,91,False
2017-12-18,69,False
2017-12-19,71,False
