date,JPYUSD,isPartial
2012-12-30,0,False
2013-01-06,63,False
2013-01-13,41,False
2013-01-20,20,False
2013-01-27,40,False
2013-02-03,20,False
2013-02-10,42,False
2013-02-17,20,False
2013-02-24,0,False
2013-03-03,20,False
2013-03-10,20,False
2013-03-17,20,False
2013-03-24,0,False
2013-03-31,20,False
2013-04-07,59,False
2013-04-14,20,False
2013-04-21,20,False
2013-04-28,0,False
2013-05-05,20,False
2013-05-12,20,False
2013-05-19,20,False
2013-05-26,40,False
2013-06-02,79,False
2013-06-09,0,False
2013-06-16,20,False
2013-06-23,100,False
2013-06-30,20,False
2013-07-07,62,False
2013-07-14,0,False
2013-07-21,41,False
2013-07-28,0,False
2013-08-04,0,False
2013-08-11,0,False
2013-08-18,40,False
2013-08-25,19,False
2013-09-01,0,False
2013-09-08,19,False
2013-09-15,19,False
2013-09-22,19,False
2013-09-29,19,False
2013-10-06,38,False
2013-10-13,38,False
2013-10-20,37,False
2013-10-27,19,False
2013-11-03,0,False
2013-11-10,0,False
2013-11-17,18,False
2013-11-24,18,False
2013-12-01,18,False
2013-12-08,0,False
2013-12-15,19,False
2013-12-22,21,False
2013-12-29,0,False
2014-01-05,0,False
2014-01-12,53,False
2014-01-19,0,False
2014-01-26,0,False
2014-02-02,18,False
2014-02-09,17,False
2014-02-16,34,False
2014-02-23,17,False
2014-03-02,52,False
2014-03-09,35,False
2014-03-16,0,False
2014-03-23,17,False
2014-03-30,0,False
2014-04-06,0,False
2014-04-13,0,False
2014-04-20,0,False
2014-04-27,18,False
2014-05-04,0,False
2014-05-11,0,False
2014-05-18,0,False
2014-05-25,19,False
2014-06-01,39,False
2014-06-08,20,False
2014-06-15,0,False
2014-06-22,19,False
2014-06-29,0,False
2014-07-06,20,False
2014-07-13,40,False
2014-07-20,39,False
2014-07-27,40,False
2014-08-03,21,False
2014-08-10,20,False
2014-08-17,0,False
2014-08-24,19,False
2014-08-31,0,False
2014-09-07,18,False
2014-09-14,37,False
2014-09-21,36,False
2014-09-28,0,False
2014-10-05,36,False
2014-10-12,18,False
2014-10-19,18,False
2014-10-26,18,False
2014-11-02,70,False
2014-11-09,18,False
2014-11-16,53,False
2014-11-23,35,False
2014-11-30,52,False
2014-12-07,35,False
2014-12-14,18,False
2014-12-21,39,False
2014-12-28,38,False
2015-01-04,0,False
2015-01-11,33,False
2015-01-18,0,False
2015-01-25,33,False
2015-02-01,33,False
2015-02-08,33,False
2015-02-15,34,False
2015-02-22,49,False
2015-03-01,0,False
2015-03-08,33,False
2015-03-15,0,False
2015-03-22,0,False
2015-03-29,17,False
2015-04-05,33,False
2015-04-12,33,False
2015-04-19,16,False
2015-04-26,17,False
2015-05-03,0,False
2015-05-10,16,False
2015-05-17,0,False
2015-05-24,0,False
2015-05-31,49,False
2015-06-07,0,False
2015-06-14,33,False
2015-06-21,33,False
2015-06-28,17,False
2015-07-05,17,False
2015-07-12,33,False
2015-07-19,17,False
2015-07-26,16,False
2015-08-02,17,False
2015-08-09,17,False
2015-08-16,33,False
2015-08-23,16,False
2015-08-30,0,False
2015-09-06,16,False
2015-09-13,31,False
2015-09-20,0,False
2015-09-27,16,False
2015-10-04,0,False
2015-10-11,0,False
2015-10-18,61,False
2015-10-25,15,False
2015-11-01,30,False
2015-11-08,0,False
2015-11-15,15,False
2015-11-22,15,False
2015-11-29,15,False
2015-12-06,15,False
2015-12-13,0,False
2015-12-20,17,False
2015-12-27,17,False
2016-01-03,32,False
2016-01-10,16,False
2016-01-17,16,False
2016-01-24,0,False
2016-01-31,16,False
2016-02-07,16,False
2016-02-14,16,False
2016-02-21,47,False
2016-02-28,15,False
2016-03-06,16,False
2016-03-13,32,False
2016-03-20,33,False
2016-03-27,0,False
2016-04-03,63,False
2016-04-10,0,False
2016-04-17,48,False
2016-04-24,32,False
2016-05-01,16,False
2016-05-08,47,False
2016-05-15,16,False
2016-05-22,0,False
2016-05-29,33,False
2016-06-05,0,False
2016-06-12,0,False
2016-06-19,17,False
2016-06-26,16,False
2016-07-03,17,False
2016-07-10,85,False
2016-07-17,17,False
2016-07-24,0,False
2016-07-31,0,False
