date,SIBCoin,isPartial
2017-11-22,23,False
2017-11-23,24,False
2017-11-24,24,False
2017-11-25,0,False
2017-11-26,0,False
2017-11-27,23,False
2017-11-28,34,False
2017-11-29,0,False
2017-11-30,24,False
2017-12-01,0,False
2017-12-02,27,False
2017-12-03,40,False
2017-12-04,23,False
2017-12-05,0,False
2017-12-06,47,False
2017-12-07,59,False
2017-12-08,50,False
2017-12-09,54,False
2017-12-10,40,False
2017-12-11,57,False
2017-12-12,58,False
2017-12-13,47,False
2017-12-14,0,False
2017-12-15,100,False
2017-12-16,0,False
2017-12-17,27,False
2017-12-18,47,False
2017-12-19,36,False
2017-12-20,49,False
