date,XTRABYTES,isPartial
2017-11-22,7,False
2017-11-23,0,False
2017-11-24,8,False
2017-11-25,9,False
2017-11-26,0,False
2017-11-27,0,False
2017-11-28,0,False
2017-11-29,22,False
2017-11-30,7,False
2017-12-01,8,False
2017-12-02,17,False
2017-12-03,9,False
2017-12-04,22,False
2017-12-05,7,False
2017-12-06,8,False
2017-12-07,8,False
2017-12-08,0,False
2017-12-09,9,False
2017-12-10,34,False
2017-12-11,29,False
2017-12-12,59,False
2017-12-13,15,False
2017-12-14,100,False
2017-12-15,47,False
2017-12-16,26,False
2017-12-17,17,False
2017-12-18,8,False
2017-12-19,8,False
