date,bitcoin,Wink,Clinton,SHACoin,UGAIN,isPartial
2016-12-18,4,1,9,0,0,False
2016-12-25,5,1,7,0,0,False
2017-01-01,8,1,7,0,0,False
2017-01-08,6,1,8,0,0,False
2017-01-15,5,1,13,0,0,False
2017-01-22,4,1,12,0,0,False
2017-01-29,5,1,8,0,0,False
2017-02-05,5,1,7,0,0,False
2017-02-12,4,1,7,0,0,False
2017-02-19,5,1,6,0,0,False
2017-02-26,6,1,6,0,0,False
2017-03-05,7,1,6,0,0,False
2017-03-12,6,1,5,0,0,False
2017-03-19,6,1,6,0,0,False
2017-03-26,5,1,6,0,0,False
2017-04-02,5,1,6,0,0,False
2017-04-09,5,1,5,0,0,False
2017-04-16,5,1,6,0,0,False
2017-04-23,5,1,6,0,0,False
2017-04-30,8,1,6,0,0,False
2017-05-07,10,1,6,0,0,False
2017-05-14,12,1,7,0,0,False
2017-05-21,21,1,6,0,0,False
2017-05-28,13,1,6,0,0,False
2017-06-04,13,1,6,0,0,False
2017-06-11,14,1,5,0,0,False
2017-06-18,11,1,5,0,0,False
2017-06-25,12,1,5,0,0,False
2017-07-02,10,1,5,0,0,False
2017-07-09,11,1,6,0,0,False
2017-07-16,12,1,6,0,0,False
2017-07-23,12,1,5,0,0,False
2017-07-30,16,1,5,0,0,False
2017-08-06,16,1,6,0,0,False
2017-08-13,21,1,6,0,0,False
2017-08-20,17,1,6,0,0,False
2017-08-27,18,1,5,0,0,False
2017-09-03,19,2,6,0,0,False
2017-09-10,22,2,7,0,0,False
2017-09-17,17,1,6,0,0,False
2017-09-24,13,1,5,0,0,False
2017-10-01,13,1,5,0,0,False
2017-10-08,20,1,6,0,0,False
2017-10-15,21,1,6,0,0,False
2017-10-22,21,1,8,0,0,False
2017-10-29,29,1,7,0,0,False
2017-11-05,30,1,6,0,0,False
2017-11-12,33,1,6,0,0,False
2017-11-19,30,1,5,0,0,False
2017-11-26,68,1,5,0,0,False
2017-12-03,97,1,5,0,0,False
2017-12-10,100,1,5,0,0,True
