date,Monero,isPartial
2017-11-22,36,False
2017-11-23,33,False
2017-11-24,25,False
2017-11-25,28,False
2017-11-26,29,False
2017-11-27,31,False
2017-11-28,43,False
2017-11-29,58,False
2017-11-30,45,False
2017-12-01,40,False
2017-12-02,36,False
2017-12-03,41,False
2017-12-04,47,False
2017-12-05,78,False
2017-12-06,100,False
2017-12-07,85,False
2017-12-08,79,False
2017-12-09,58,False
2017-12-10,60,False
2017-12-11,67,False
2017-12-12,80,False
2017-12-13,83,False
2017-12-14,78,False
2017-12-15,74,False
2017-12-16,68,False
2017-12-17,69,False
2017-12-18,65,False
2017-12-19,78,False
