date,BlackCoin,isPartial
2017-11-22,26,False
2017-11-23,31,False
2017-11-24,27,False
2017-11-25,20,False
2017-11-26,58,False
2017-11-27,42,False
2017-11-28,55,False
2017-11-29,52,False
2017-11-30,30,False
2017-12-01,36,False
2017-12-02,45,False
2017-12-03,15,False
2017-12-04,17,False
2017-12-05,43,False
2017-12-06,39,False
2017-12-07,39,False
2017-12-08,46,False
2017-12-09,20,False
2017-12-10,39,False
2017-12-11,76,False
2017-12-12,60,False
2017-12-13,39,False
2017-12-14,57,False
2017-12-15,41,False
2017-12-16,51,False
2017-12-17,100,False
2017-12-18,87,False
2017-12-19,87,False
2017-12-20,45,False
