date,NoLimitCoin,isPartial
2017-11-22,66,False
2017-11-23,0,False
2017-11-24,0,False
2017-11-25,0,False
2017-11-26,0,False
2017-11-27,0,False
2017-11-28,0,False
2017-11-29,0,False
2017-11-30,33,False
2017-12-01,0,False
2017-12-02,38,False
2017-12-03,0,False
2017-12-04,32,False
2017-12-05,65,False
2017-12-06,33,False
2017-12-07,34,False
2017-12-08,35,False
2017-12-09,38,False
2017-12-10,0,False
2017-12-11,32,False
2017-12-12,33,False
2017-12-13,0,False
2017-12-14,34,False
2017-12-15,34,False
2017-12-16,39,False
2017-12-17,0,False
2017-12-18,100,False
2017-12-19,0,False
