date,Bitcoin Gold,isPartial
2017-11-22,65,False
2017-11-23,72,False
2017-11-24,100,False
2017-11-25,83,False
2017-11-26,88,False
2017-11-27,98,False
2017-11-28,72,False
2017-11-29,89,False
2017-11-30,58,False
2017-12-01,42,False
2017-12-02,44,False
2017-12-03,61,False
2017-12-04,36,False
2017-12-05,47,False
2017-12-06,55,False
2017-12-07,80,False
2017-12-08,69,False
2017-12-09,44,False
2017-12-10,52,False
2017-12-11,67,False
2017-12-12,71,False
2017-12-13,62,False
2017-12-14,59,False
2017-12-15,36,False
2017-12-16,42,False
2017-12-17,40,False
2017-12-18,53,False
2017-12-19,55,False
