date,USDMXN
2017-01-08,90
2017-01-15,76
2017-01-22,100
2017-01-29,54
2017-02-05,55
2017-02-12,40
2017-02-19,62
2017-02-26,47
2017-03-05,45
2017-03-12,44
2017-03-19,50
2017-03-26,51
2017-04-02,46
2017-04-09,46
2017-04-16,35
2017-04-23,49
2017-04-30,38
2017-05-07,40
2017-05-14,35
2017-05-21,38
2017-05-28,28
2017-06-04,39
2017-06-11,41
2017-06-18,55
2017-06-25,43
2017-07-02,25
2017-07-09,30
2017-07-16,37
2017-07-23,30
2017-07-30,26
2017-08-06,28
2017-08-13,22
2017-08-20,34
2017-08-27,26
2017-09-03,23
2017-09-10,27
2017-09-17,30
2017-09-24,29
2017-10-01,35
2017-10-08,47
2017-10-15,57
2017-10-22,36
2017-10-29,45
2017-11-05,27
2017-11-12,24
2017-11-19,32
2017-11-26,45
2017-12-03,37
2017-12-10,39
2017-12-17,44
2017-12-24,55
2017-12-31,41
