date,IOTA,Ripple,Dash,NEM,Monero
2016-12-25,1,3,90,93,8
2017-01-01,1,3,89,85,12
2017-01-08,1,3,81,86,7
2017-01-15,1,3,84,87,6
2017-01-22,1,3,100,88,7
2017-01-29,1,3,85,83,7
2017-02-05,1,3,85,84,5
2017-02-12,1,3,83,86,5
2017-02-19,1,3,85,86,5
2017-02-26,1,4,96,85,6
2017-03-05,2,3,91,88,5
2017-03-12,2,4,88,83,9
2017-03-19,2,4,84,86,8
2017-03-26,1,4,82,85,6
2017-04-02,2,6,77,84,6
2017-04-09,1,4,77,85,6
2017-04-16,1,4,74,84,5
2017-04-23,1,5,75,85,6
2017-04-30,2,6,77,86,8
2017-05-07,1,9,72,87,8
2017-05-14,1,11,73,85,11
2017-05-21,1,12,74,88,18
2017-05-28,1,10,72,100,15
2017-06-04,2,9,69,92,15
2017-06-11,5,10,71,99,17
2017-06-18,3,10,74,87,15
2017-06-25,3,8,71,87,15
2017-07-02,2,7,69,86,12
2017-07-09,2,7,71,80,13
2017-07-16,3,7,75,81,12
2017-07-23,3,7,71,81,13
2017-07-30,3,7,73,86,13
2017-08-06,4,8,73,88,14
2017-08-13,8,8,72,85,13
2017-08-20,5,14,74,84,41
2017-08-27,6,12,72,85,38
2017-09-03,5,10,68,83,24
2017-09-10,4,9,67,77,22
2017-09-17,4,8,78,93,26
2017-09-24,4,7,79,90,21
2017-10-01,4,9,74,80,20
2017-10-08,4,12,77,87,18
2017-10-15,4,14,75,87,20
2017-10-22,4,10,77,88,20
2017-10-29,4,11,78,87,21
2017-11-05,5,11,77,86,31
2017-11-12,8,13,85,91,29
2017-11-19,9,15,90,90,32
2017-11-26,19,23,91,88,50
2017-12-03,100,25,87,93,86
2017-12-10,71,96,88,97,87
2017-12-17,58,100,92,99,100
