date,Burst,isPartial
2016-12-25,71,False
2017-01-01,68,False
2017-01-08,67,False
2017-01-15,68,False
2017-01-22,71,False
2017-01-29,69,False
2017-02-05,72,False
2017-02-12,71,False
2017-02-19,72,False
2017-02-26,76,False
2017-03-05,72,False
2017-03-12,72,False
2017-03-19,73,False
2017-03-26,73,False
2017-04-02,71,False
2017-04-09,69,False
2017-04-16,69,False
2017-04-23,72,False
2017-04-30,70,False
2017-05-07,68,False
2017-05-14,72,False
2017-05-21,67,False
2017-05-28,73,False
2017-06-04,70,False
2017-06-11,74,False
2017-06-18,73,False
2017-06-25,77,False
2017-07-02,75,False
2017-07-09,71,False
2017-07-16,68,False
2017-07-23,72,False
2017-07-30,74,False
2017-08-06,68,False
2017-08-13,67,False
2017-08-20,69,False
2017-08-27,70,False
2017-09-03,71,False
2017-09-10,72,False
2017-09-17,69,False
2017-09-24,73,False
2017-10-01,77,False
2017-10-08,79,False
2017-10-15,85,False
2017-10-22,80,False
2017-10-29,86,False
2017-11-05,91,False
2017-11-12,88,False
2017-11-19,88,False
2017-11-26,89,False
2017-12-03,100,False
2017-12-10,97,False
2017-12-17,100,True
