date,Stellar Lumens,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,1,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,1,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,1,False
2017-04-30,4,False
2017-05-07,11,False
2017-05-14,10,False
2017-05-21,8,False
2017-05-28,7,False
2017-06-04,6,False
2017-06-11,3,False
2017-06-18,3,False
2017-06-25,7,False
2017-07-02,2,False
2017-07-09,4,False
2017-07-16,3,False
2017-07-23,3,False
2017-07-30,5,False
2017-08-06,3,False
2017-08-13,4,False
2017-08-20,5,False
2017-08-27,4,False
2017-09-03,3,False
2017-09-10,2,False
2017-09-17,2,False
2017-09-24,2,False
2017-10-01,5,False
2017-10-08,5,False
2017-10-15,27,False
2017-10-22,11,False
2017-10-29,10,False
2017-11-05,10,False
2017-11-12,10,False
2017-11-19,12,False
2017-11-26,47,False
2017-12-03,81,False
2017-12-10,84,False
2017-12-17,100,True
