date,BitBean,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,3,False
2017-03-05,3,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,3,False
2017-04-09,3,False
2017-04-16,24,False
2017-04-23,29,False
2017-04-30,11,False
2017-05-07,13,False
2017-05-14,14,False
2017-05-21,32,False
2017-05-28,20,False
2017-06-04,56,False
2017-06-11,17,False
2017-06-18,39,False
2017-06-25,23,False
2017-07-02,15,False
2017-07-09,14,False
2017-07-16,15,False
2017-07-23,3,False
2017-07-30,11,False
2017-08-06,6,False
2017-08-13,11,False
2017-08-20,25,False
2017-08-27,14,False
2017-09-03,11,False
2017-09-10,16,False
2017-09-17,5,False
2017-09-24,8,False
2017-10-01,8,False
2017-10-08,5,False
2017-10-15,5,False
2017-10-22,13,False
2017-10-29,3,False
2017-11-05,5,False
2017-11-12,39,False
2017-11-19,21,False
2017-11-26,21,False
2017-12-03,31,False
2017-12-10,39,False
2017-12-17,100,True
