date,Pesetacoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,8,False
2017-01-15,4,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,8,False
2017-02-19,8,False
2017-02-26,0,False
2017-03-05,4,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,8,False
2017-04-02,0,False
2017-04-09,4,False
2017-04-16,8,False
2017-04-23,0,False
2017-04-30,10,False
2017-05-07,6,False
2017-05-14,11,False
2017-05-21,11,False
2017-05-28,11,False
2017-06-04,36,False
2017-06-11,17,False
2017-06-18,12,False
2017-06-25,4,False
2017-07-02,7,False
2017-07-09,8,False
2017-07-16,9,False
2017-07-23,8,False
2017-07-30,13,False
2017-08-06,9,False
2017-08-13,6,False
2017-08-20,4,False
2017-08-27,65,False
2017-09-03,72,False
2017-09-10,20,False
2017-09-17,26,False
2017-09-24,20,False
2017-10-01,14,False
2017-10-08,17,False
2017-10-15,0,False
2017-10-22,10,False
2017-10-29,26,False
2017-11-05,8,False
2017-11-12,13,False
2017-11-19,8,False
2017-11-26,41,False
2017-12-03,27,False
2017-12-10,42,False
2017-12-17,100,True
