date,PRIZM,isPartial
2016-12-25,89,False
2017-01-01,79,False
2017-01-08,85,False
2017-01-15,83,False
2017-01-22,88,False
2017-01-29,80,False
2017-02-05,81,False
2017-02-12,78,False
2017-02-19,84,False
2017-02-26,91,False
2017-03-05,85,False
2017-03-12,79,False
2017-03-19,77,False
2017-03-26,81,False
2017-04-02,78,False
2017-04-09,84,False
2017-04-16,77,False
2017-04-23,77,False
2017-04-30,75,False
2017-05-07,75,False
2017-05-14,77,False
2017-05-21,72,False
2017-05-28,84,False
2017-06-04,78,False
2017-06-11,88,False
2017-06-18,87,False
2017-06-25,88,False
2017-07-02,82,False
2017-07-09,83,False
2017-07-16,92,False
2017-07-23,81,False
2017-07-30,84,False
2017-08-06,77,False
2017-08-13,75,False
2017-08-20,78,False
2017-08-27,74,False
2017-09-03,69,False
2017-09-10,67,False
2017-09-17,68,False
2017-09-24,71,False
2017-10-01,65,False
2017-10-08,74,False
2017-10-15,68,False
2017-10-22,73,False
2017-10-29,78,False
2017-11-05,74,False
2017-11-12,80,False
2017-11-19,91,False
2017-11-26,95,False
2017-12-03,95,False
2017-12-10,97,False
2017-12-17,100,True
