date,Phore,isPartial
2016-12-25,13,False
2017-01-01,15,False
2017-01-08,11,False
2017-01-15,14,False
2017-01-22,10,False
2017-01-29,10,False
2017-02-05,9,False
2017-02-12,17,False
2017-02-19,10,False
2017-02-26,15,False
2017-03-05,12,False
2017-03-12,9,False
2017-03-19,11,False
2017-03-26,7,False
2017-04-02,9,False
2017-04-09,18,False
2017-04-16,11,False
2017-04-23,11,False
2017-04-30,7,False
2017-05-07,9,False
2017-05-14,9,False
2017-05-21,13,False
2017-05-28,12,False
2017-06-04,9,False
2017-06-11,10,False
2017-06-18,12,False
2017-06-25,6,False
2017-07-02,13,False
2017-07-09,5,False
2017-07-16,13,False
2017-07-23,11,False
2017-07-30,10,False
2017-08-06,12,False
2017-08-13,14,False
2017-08-20,11,False
2017-08-27,8,False
2017-09-03,16,False
2017-09-10,16,False
2017-09-17,9,False
2017-09-24,10,False
2017-10-01,8,False
2017-10-08,5,False
2017-10-15,12,False
2017-10-22,10,False
2017-10-29,19,False
2017-11-05,25,False
2017-11-12,16,False
2017-11-19,23,False
2017-11-26,19,False
2017-12-03,20,False
2017-12-10,36,False
2017-12-17,100,True
