date,HunterCoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,7,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,7,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,6,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,20,False
2017-04-09,0,False
2017-04-16,7,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,7,False
2017-05-14,7,False
2017-05-21,7,False
2017-05-28,100,False
2017-06-04,21,False
2017-06-11,7,False
2017-06-18,7,False
2017-06-25,0,False
2017-07-02,7,False
2017-07-09,0,False
2017-07-16,0,False
2017-07-23,14,False
2017-07-30,0,False
2017-08-06,7,False
2017-08-13,0,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,0,False
2017-09-10,0,False
2017-09-17,7,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,7,False
2017-10-15,13,False
2017-10-22,7,False
2017-10-29,13,False
2017-11-05,0,False
2017-11-12,6,False
2017-11-19,0,False
2017-11-26,6,False
2017-12-03,0,False
2017-12-10,0,False
2017-12-17,18,True
