date,Magi,isPartial
2016-12-25,75,False
2017-01-01,100,False
2017-01-08,68,False
2017-01-15,61,False
2017-01-22,55,False
2017-01-29,54,False
2017-02-05,57,False
2017-02-12,59,False
2017-02-19,60,False
2017-02-26,59,False
2017-03-05,55,False
2017-03-12,54,False
2017-03-19,54,False
2017-03-26,57,False
2017-04-02,52,False
2017-04-09,58,False
2017-04-16,52,False
2017-04-23,53,False
2017-04-30,52,False
2017-05-07,54,False
2017-05-14,52,False
2017-05-21,49,False
2017-05-28,49,False
2017-06-04,49,False
2017-06-11,49,False
2017-06-18,47,False
2017-06-25,49,False
2017-07-02,52,False
2017-07-09,51,False
2017-07-16,53,False
2017-07-23,48,False
2017-07-30,52,False
2017-08-06,50,False
2017-08-13,51,False
2017-08-20,51,False
2017-08-27,49,False
2017-09-03,45,False
2017-09-10,45,False
2017-09-17,46,False
2017-09-24,45,False
2017-10-01,46,False
2017-10-08,53,False
2017-10-15,50,False
2017-10-22,48,False
2017-10-29,49,False
2017-11-05,49,False
2017-11-12,49,False
2017-11-19,50,False
2017-11-26,55,False
2017-12-03,64,False
2017-12-10,71,False
2017-12-17,72,True
