date,BitShares,isPartial
2016-12-25,0,False
2017-01-01,4,False
2017-01-08,2,False
2017-01-15,1,False
2017-01-22,2,False
2017-01-29,3,False
2017-02-05,2,False
2017-02-12,4,False
2017-02-19,4,False
2017-02-26,1,False
2017-03-05,1,False
2017-03-12,4,False
2017-03-19,2,False
2017-03-26,0,False
2017-04-02,6,False
2017-04-09,5,False
2017-04-16,7,False
2017-04-23,4,False
2017-04-30,4,False
2017-05-07,6,False
2017-05-14,11,False
2017-05-21,10,False
2017-05-28,13,False
2017-06-04,64,False
2017-06-11,56,False
2017-06-18,21,False
2017-06-25,23,False
2017-07-02,20,False
2017-07-09,18,False
2017-07-16,23,False
2017-07-23,21,False
2017-07-30,13,False
2017-08-06,21,False
2017-08-13,20,False
2017-08-20,18,False
2017-08-27,24,False
2017-09-03,24,False
2017-09-10,24,False
2017-09-17,22,False
2017-09-24,21,False
2017-10-01,29,False
2017-10-08,30,False
2017-10-15,22,False
2017-10-22,13,False
2017-10-29,16,False
2017-11-05,17,False
2017-11-12,18,False
2017-11-19,38,False
2017-11-26,40,False
2017-12-03,49,False
2017-12-10,71,False
2017-12-17,100,True
