date,Bytecoin,isPartial
2016-12-25,3,False
2017-01-01,3,False
2017-01-08,2,False
2017-01-15,1,False
2017-01-22,1,False
2017-01-29,3,False
2017-02-05,2,False
2017-02-12,1,False
2017-02-19,2,False
2017-02-26,3,False
2017-03-05,3,False
2017-03-12,2,False
2017-03-19,3,False
2017-03-26,6,False
2017-04-02,3,False
2017-04-09,5,False
2017-04-16,5,False
2017-04-23,3,False
2017-04-30,4,False
2017-05-07,12,False
2017-05-14,21,False
2017-05-21,31,False
2017-05-28,19,False
2017-06-04,19,False
2017-06-11,16,False
2017-06-18,22,False
2017-06-25,16,False
2017-07-02,15,False
2017-07-09,14,False
2017-07-16,13,False
2017-07-23,11,False
2017-07-30,10,False
2017-08-06,13,False
2017-08-13,15,False
2017-08-20,18,False
2017-08-27,26,False
2017-09-03,19,False
2017-09-10,11,False
2017-09-17,12,False
2017-09-24,8,False
2017-10-01,9,False
2017-10-08,10,False
2017-10-15,13,False
2017-10-22,10,False
2017-10-29,11,False
2017-11-05,12,False
2017-11-12,11,False
2017-11-19,15,False
2017-11-26,24,False
2017-12-03,37,False
2017-12-10,57,False
2017-12-17,100,True
