date,Bitcoin Cash,isPartial
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,1,False
2017-02-26,1,False
2017-03-05,1,False
2017-03-12,1,False
2017-03-19,2,False
2017-03-26,2,False
2017-04-02,2,False
2017-04-09,2,False
2017-04-16,1,False
2017-04-23,1,False
2017-04-30,2,False
2017-05-07,2,False
2017-05-14,2,False
2017-05-21,2,False
2017-05-28,2,False
2017-06-04,1,False
2017-06-11,1,False
2017-06-18,1,False
2017-06-25,1,False
2017-07-02,1,False
2017-07-09,1,False
2017-07-16,1,False
2017-07-23,7,False
2017-07-30,47,False
2017-08-06,16,False
2017-08-13,19,False
2017-08-20,16,False
2017-08-27,9,False
2017-09-03,6,False
2017-09-10,4,False
2017-09-17,4,False
2017-09-24,4,False
2017-10-01,4,False
2017-10-08,6,False
2017-10-15,6,False
2017-10-22,6,False
2017-10-29,12,False
2017-11-05,24,False
2017-11-12,48,False
2017-11-19,18,False
2017-11-26,21,False
2017-12-03,21,False
2017-12-10,23,False
2017-12-17,100,False
2017-12-24,28,True
