date,Vsync,isPartial
2016-12-25,100,False
2017-01-01,97,False
2017-01-08,76,False
2017-01-15,67,False
2017-01-22,85,False
2017-01-29,61,False
2017-02-05,63,False
2017-02-12,68,False
2017-02-19,70,False
2017-02-26,69,False
2017-03-05,69,False
2017-03-12,62,False
2017-03-19,68,False
2017-03-26,69,False
2017-04-02,72,False
2017-04-09,77,False
2017-04-16,57,False
2017-04-23,72,False
2017-04-30,63,False
2017-05-07,59,False
2017-05-14,63,False
2017-05-21,62,False
2017-05-28,67,False
2017-06-04,59,False
2017-06-11,66,False
2017-06-18,63,False
2017-06-25,78,False
2017-07-02,81,False
2017-07-09,60,False
2017-07-16,65,False
2017-07-23,74,False
2017-07-30,72,False
2017-08-06,63,False
2017-08-13,62,False
2017-08-20,59,False
2017-08-27,69,False
2017-09-03,68,False
2017-09-10,59,False
2017-09-17,58,False
2017-09-24,56,False
2017-10-01,58,False
2017-10-08,60,False
2017-10-15,63,False
2017-10-22,64,False
2017-10-29,78,False
2017-11-05,75,False
2017-11-12,69,False
2017-11-19,73,False
2017-11-26,70,False
2017-12-03,65,False
2017-12-10,67,False
2017-12-17,75,True
