date,NuBits,isPartial
2016-12-25,24,False
2017-01-01,59,False
2017-01-08,0,False
2017-01-15,21,False
2017-01-22,33,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,21,False
2017-02-26,16,False
2017-03-05,21,False
2017-03-12,11,False
2017-03-19,11,False
2017-03-26,21,False
2017-04-02,21,False
2017-04-09,17,False
2017-04-16,45,False
2017-04-23,16,False
2017-04-30,22,False
2017-05-07,11,False
2017-05-14,17,False
2017-05-21,69,False
2017-05-28,23,False
2017-06-04,29,False
2017-06-11,47,False
2017-06-18,28,False
2017-06-25,36,False
2017-07-02,35,False
2017-07-09,24,False
2017-07-16,24,False
2017-07-23,24,False
2017-07-30,35,False
2017-08-06,38,False
2017-08-13,22,False
2017-08-20,46,False
2017-08-27,40,False
2017-09-03,96,False
2017-09-10,49,False
2017-09-17,32,False
2017-09-24,21,False
2017-10-01,11,False
2017-10-08,11,False
2017-10-15,0,False
2017-10-22,11,False
2017-10-29,22,False
2017-11-05,37,False
2017-11-12,11,False
2017-11-19,16,False
2017-11-26,21,False
2017-12-03,26,False
2017-12-10,100,False
2017-12-17,77,True
