date,NetCoin,isPartial
2016-12-25,0,False
2017-01-01,13,False
2017-01-08,0,False
2017-01-15,13,False
2017-01-22,0,False
2017-01-29,13,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,12,False
2017-02-26,18,False
2017-03-05,23,False
2017-03-12,0,False
2017-03-19,24,False
2017-03-26,25,False
2017-04-02,13,False
2017-04-09,13,False
2017-04-16,24,False
2017-04-23,23,False
2017-04-30,24,False
2017-05-07,0,False
2017-05-14,40,False
2017-05-21,26,False
2017-05-28,13,False
2017-06-04,25,False
2017-06-11,25,False
2017-06-18,13,False
2017-06-25,33,False
2017-07-02,46,False
2017-07-09,25,False
2017-07-16,53,False
2017-07-23,52,False
2017-07-30,25,False
2017-08-06,74,False
2017-08-13,25,False
2017-08-20,25,False
2017-08-27,19,False
2017-09-03,19,False
2017-09-10,51,False
2017-09-17,0,False
2017-09-24,13,False
2017-10-01,43,False
2017-10-08,18,False
2017-10-15,25,False
2017-10-22,71,False
2017-10-29,47,False
2017-11-05,49,False
2017-11-12,42,False
2017-11-19,41,False
2017-11-26,76,False
2017-12-03,76,False
2017-12-10,100,False
2017-12-17,58,True
