date,Titcoin,isPartial
2016-12-25,4,False
2017-01-01,4,False
2017-01-08,4,False
2017-01-15,6,False
2017-01-22,2,False
2017-01-29,0,False
2017-02-05,4,False
2017-02-12,4,False
2017-02-19,4,False
2017-02-26,2,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,2,False
2017-03-26,0,False
2017-04-02,5,False
2017-04-09,0,False
2017-04-16,2,False
2017-04-23,2,False
2017-04-30,5,False
2017-05-07,4,False
2017-05-14,0,False
2017-05-21,8,False
2017-05-28,14,False
2017-06-04,10,False
2017-06-11,8,False
2017-06-18,8,False
2017-06-25,10,False
2017-07-02,2,False
2017-07-09,10,False
2017-07-16,21,False
2017-07-23,6,False
2017-07-30,8,False
2017-08-06,9,False
2017-08-13,6,False
2017-08-20,8,False
2017-08-27,4,False
2017-09-03,9,False
2017-09-10,7,False
2017-09-17,2,False
2017-09-24,6,False
2017-10-01,5,False
2017-10-08,2,False
2017-10-15,4,False
2017-10-22,13,False
2017-10-29,13,False
2017-11-05,16,False
2017-11-12,5,False
2017-11-19,4,False
2017-11-26,23,False
2017-12-03,32,False
2017-12-10,50,False
2017-12-17,100,True
