date,LeviarCoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,19,False
2017-04-09,20,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,0,False
2017-05-14,20,False
2017-05-21,21,False
2017-05-28,21,False
2017-06-04,0,False
2017-06-11,61,False
2017-06-18,20,False
2017-06-25,0,False
2017-07-02,62,False
2017-07-09,0,False
2017-07-16,61,False
2017-07-23,41,False
2017-07-30,20,False
2017-08-06,39,False
2017-08-13,100,False
2017-08-20,39,False
2017-08-27,40,False
2017-09-03,20,False
2017-09-10,58,False
2017-09-17,38,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,19,False
2017-10-15,19,False
2017-10-22,19,False
2017-10-29,19,False
2017-11-05,0,False
2017-11-12,37,False
2017-11-19,19,False
2017-11-26,37,False
2017-12-03,0,False
2017-12-10,0,False
2017-12-17,0,True
