date,RaiBlocks,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,1,False
2017-02-05,1,False
2017-02-12,1,False
2017-02-19,2,False
2017-02-26,2,False
2017-03-05,3,False
2017-03-12,2,False
2017-03-19,3,False
2017-03-26,3,False
2017-04-02,3,False
2017-04-09,3,False
2017-04-16,4,False
2017-04-23,1,False
2017-04-30,5,False
2017-05-07,2,False
2017-05-14,3,False
2017-05-21,5,False
2017-05-28,4,False
2017-06-04,7,False
2017-06-11,10,False
2017-06-18,15,False
2017-06-25,16,False
2017-07-02,17,False
2017-07-09,16,False
2017-07-16,17,False
2017-07-23,24,False
2017-07-30,20,False
2017-08-06,23,False
2017-08-13,35,False
2017-08-20,31,False
2017-08-27,49,False
2017-09-03,61,False
2017-09-10,27,False
2017-09-17,33,False
2017-09-24,24,False
2017-10-01,30,False
2017-10-08,39,False
2017-10-15,20,False
2017-10-22,6,False
2017-10-29,6,False
2017-11-05,5,False
2017-11-12,5,False
2017-11-19,5,False
2017-11-26,6,False
2017-12-03,17,False
2017-12-10,69,False
2017-12-17,100,True
