date,C-Bit,isPartial
2016-12-25,6,False
2017-01-01,15,False
2017-01-08,10,False
2017-01-15,5,False
2017-01-22,5,False
2017-01-29,5,False
2017-02-05,5,False
2017-02-12,14,False
2017-02-19,14,False
2017-02-26,10,False
2017-03-05,14,False
2017-03-12,28,False
2017-03-19,19,False
2017-03-26,5,False
2017-04-02,29,False
2017-04-09,15,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,10,False
2017-05-07,14,False
2017-05-14,0,False
2017-05-21,10,False
2017-05-28,0,False
2017-06-04,30,False
2017-06-11,0,False
2017-06-18,10,False
2017-06-25,5,False
2017-07-02,0,False
2017-07-09,100,False
2017-07-16,15,False
2017-07-23,5,False
2017-07-30,33,False
2017-08-06,10,False
2017-08-13,10,False
2017-08-20,10,False
2017-08-27,27,False
2017-09-03,27,False
2017-09-10,5,False
2017-09-17,10,False
2017-09-24,29,False
2017-10-01,5,False
2017-10-08,0,False
2017-10-15,5,False
2017-10-22,0,False
2017-10-29,5,False
2017-11-05,26,False
2017-11-12,5,False
2017-11-19,26,False
2017-11-26,0,False
2017-12-03,5,False
2017-12-10,5,False
2017-12-17,6,True
