date,Pura,isPartial
2016-12-25,71,False
2017-01-01,71,False
2017-01-08,73,False
2017-01-15,78,False
2017-01-22,78,False
2017-01-29,83,False
2017-02-05,78,False
2017-02-12,85,False
2017-02-19,81,False
2017-02-26,78,False
2017-03-05,84,False
2017-03-12,82,False
2017-03-19,87,False
2017-03-26,89,False
2017-04-02,89,False
2017-04-09,89,False
2017-04-16,90,False
2017-04-23,87,False
2017-04-30,86,False
2017-05-07,86,False
2017-05-14,82,False
2017-05-21,81,False
2017-05-28,83,False
2017-06-04,100,False
2017-06-11,89,False
2017-06-18,82,False
2017-06-25,83,False
2017-07-02,88,False
2017-07-09,90,False
2017-07-16,89,False
2017-07-23,90,False
2017-07-30,86,False
2017-08-06,86,False
2017-08-13,95,False
2017-08-20,93,False
2017-08-27,92,False
2017-09-03,92,False
2017-09-10,81,False
2017-09-17,85,False
2017-09-24,86,False
2017-10-01,87,False
2017-10-08,83,False
2017-10-15,82,False
2017-10-22,84,False
2017-10-29,85,False
2017-11-05,80,False
2017-11-12,83,False
2017-11-19,89,False
2017-11-26,93,False
2017-12-03,87,False
2017-12-10,84,False
2017-12-17,82,True
