date,DigiByte,isPartial
2016-12-25,0,False
2017-01-01,1,False
2017-01-08,1,False
2017-01-15,1,False
2017-01-22,0,False
2017-01-29,1,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,1,False
2017-02-26,1,False
2017-03-05,1,False
2017-03-12,1,False
2017-03-19,1,False
2017-03-26,1,False
2017-04-02,2,False
2017-04-09,4,False
2017-04-16,8,False
2017-04-23,3,False
2017-04-30,4,False
2017-05-07,5,False
2017-05-14,29,False
2017-05-21,30,False
2017-05-28,55,False
2017-06-04,100,False
2017-06-11,49,False
2017-06-18,26,False
2017-06-25,23,False
2017-07-02,19,False
2017-07-09,16,False
2017-07-16,11,False
2017-07-23,24,False
2017-07-30,22,False
2017-08-06,15,False
2017-08-13,18,False
2017-08-20,15,False
2017-08-27,28,False
2017-09-03,17,False
2017-09-10,11,False
2017-09-17,9,False
2017-09-24,10,False
2017-10-01,16,False
2017-10-08,11,False
2017-10-15,8,False
2017-10-22,7,False
2017-10-29,10,False
2017-11-05,11,False
2017-11-12,13,False
2017-11-19,9,False
2017-11-26,20,False
2017-12-03,28,False
2017-12-10,41,False
2017-12-17,89,True
