date,PayCon,isPartial
2016-12-25,0,False
2017-01-01,12,False
2017-01-08,23,False
2017-01-15,34,False
2017-01-22,57,False
2017-01-29,33,False
2017-02-05,68,False
2017-02-12,11,False
2017-02-19,23,False
2017-02-26,11,False
2017-03-05,54,False
2017-03-12,11,False
2017-03-19,56,False
2017-03-26,11,False
2017-04-02,23,False
2017-04-09,23,False
2017-04-16,45,False
2017-04-23,45,False
2017-04-30,23,False
2017-05-07,11,False
2017-05-14,24,False
2017-05-21,37,False
2017-05-28,25,False
2017-06-04,23,False
2017-06-11,49,False
2017-06-18,12,False
2017-06-25,49,False
2017-07-02,49,False
2017-07-09,24,False
2017-07-16,49,False
2017-07-23,60,False
2017-07-30,47,False
2017-08-06,23,False
2017-08-13,12,False
2017-08-20,47,False
2017-08-27,35,False
2017-09-03,94,False
2017-09-10,23,False
2017-09-17,34,False
2017-09-24,0,False
2017-10-01,23,False
2017-10-08,46,False
2017-10-15,23,False
2017-10-22,44,False
2017-10-29,34,False
2017-11-05,55,False
2017-11-12,55,False
2017-11-19,44,False
2017-11-26,11,False
2017-12-03,67,False
2017-12-10,100,False
2017-12-17,47,True
