date,BigUp,isPartial
2016-12-25,21,False
2017-01-01,100,False
2017-01-08,28,False
2017-01-15,37,False
2017-01-22,65,False
2017-01-29,64,False
2017-02-05,37,False
2017-02-12,73,False
2017-02-19,65,False
2017-02-26,63,False
2017-03-05,53,False
2017-03-12,36,False
2017-03-19,83,False
2017-03-26,56,False
2017-04-02,65,False
2017-04-09,9,False
2017-04-16,56,False
2017-04-23,46,False
2017-04-30,85,False
2017-05-07,84,False
2017-05-14,58,False
2017-05-21,80,False
2017-05-28,50,False
2017-06-04,58,False
2017-06-11,50,False
2017-06-18,57,False
2017-06-25,61,False
2017-07-02,51,False
2017-07-09,80,False
2017-07-16,40,False
2017-07-23,39,False
2017-07-30,58,False
2017-08-06,38,False
2017-08-13,39,False
2017-08-20,29,False
2017-08-27,48,False
2017-09-03,29,False
2017-09-10,37,False
2017-09-17,9,False
2017-09-24,56,False
2017-10-01,66,False
2017-10-08,28,False
2017-10-15,37,False
2017-10-22,46,False
2017-10-29,18,False
2017-11-05,45,False
2017-11-12,27,False
2017-11-19,63,False
2017-11-26,63,False
2017-12-03,64,False
2017-12-10,64,False
2017-12-17,39,True
