date,Achain,isPartial
2016-12-25,12,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,20,False
2017-01-22,10,False
2017-01-29,20,False
2017-02-05,20,False
2017-02-12,10,False
2017-02-19,10,False
2017-02-26,0,False
2017-03-05,10,False
2017-03-12,0,False
2017-03-19,31,False
2017-03-26,10,False
2017-04-02,0,False
2017-04-09,11,False
2017-04-16,51,False
2017-04-23,10,False
2017-04-30,0,False
2017-05-07,0,False
2017-05-14,11,False
2017-05-21,0,False
2017-05-28,11,False
2017-06-04,11,False
2017-06-11,11,False
2017-06-18,11,False
2017-06-25,11,False
2017-07-02,44,False
2017-07-09,44,False
2017-07-16,0,False
2017-07-23,22,False
2017-07-30,11,False
2017-08-06,11,False
2017-08-13,11,False
2017-08-20,11,False
2017-08-27,43,False
2017-09-03,21,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,10,False
2017-10-08,0,False
2017-10-15,10,False
2017-10-22,81,False
2017-10-29,0,False
2017-11-05,40,False
2017-11-12,40,False
2017-11-19,69,False
2017-11-26,59,False
2017-12-03,30,False
2017-12-10,100,False
2017-12-17,71,True
