date,PayCoin,isPartial
2016-12-25,36,False
2017-01-01,33,False
2017-01-08,16,False
2017-01-15,24,False
2017-01-22,0,False
2017-01-29,31,False
2017-02-05,15,False
2017-02-12,15,False
2017-02-19,16,False
2017-02-26,15,False
2017-03-05,30,False
2017-03-12,15,False
2017-03-19,31,False
2017-03-26,47,False
2017-04-02,0,False
2017-04-09,40,False
2017-04-16,16,False
2017-04-23,16,False
2017-04-30,16,False
2017-05-07,0,False
2017-05-14,41,False
2017-05-21,17,False
2017-05-28,42,False
2017-06-04,74,False
2017-06-11,0,False
2017-06-18,81,False
2017-06-25,34,False
2017-07-02,17,False
2017-07-09,17,False
2017-07-16,17,False
2017-07-23,25,False
2017-07-30,57,False
2017-08-06,56,False
2017-08-13,33,False
2017-08-20,33,False
2017-08-27,57,False
2017-09-03,73,False
2017-09-10,16,False
2017-09-17,24,False
2017-09-24,48,False
2017-10-01,32,False
2017-10-08,47,False
2017-10-15,24,False
2017-10-22,23,False
2017-10-29,23,False
2017-11-05,30,False
2017-11-12,31,False
2017-11-19,38,False
2017-11-26,68,False
2017-12-03,62,False
2017-12-10,100,False
2017-12-17,61,True
