date,Hexx,isPartial
2016-12-25,51,False
2017-01-01,39,False
2017-01-08,37,False
2017-01-15,63,False
2017-01-22,43,False
2017-01-29,49,False
2017-02-05,63,False
2017-02-12,51,False
2017-02-19,72,False
2017-02-26,57,False
2017-03-05,74,False
2017-03-12,63,False
2017-03-19,49,False
2017-03-26,100,False
2017-04-02,70,False
2017-04-09,81,False
2017-04-16,49,False
2017-04-23,56,False
2017-04-30,59,False
2017-05-07,63,False
2017-05-14,47,False
2017-05-21,41,False
2017-05-28,49,False
2017-06-04,65,False
2017-06-11,82,False
2017-06-18,53,False
2017-06-25,42,False
2017-07-02,57,False
2017-07-09,77,False
2017-07-16,88,False
2017-07-23,78,False
2017-07-30,70,False
2017-08-06,78,False
2017-08-13,55,False
2017-08-20,80,False
2017-08-27,74,False
2017-09-03,68,False
2017-09-10,56,False
2017-09-17,82,False
2017-09-24,64,False
2017-10-01,68,False
2017-10-08,36,False
2017-10-15,43,False
2017-10-22,60,False
2017-10-29,31,False
2017-11-05,31,False
2017-11-12,72,False
2017-11-19,72,False
2017-11-26,50,False
2017-12-03,67,False
2017-12-10,53,False
2017-12-17,78,True
