date,Allion,isPartial
2016-12-25,68,False
2017-01-01,80,False
2017-01-08,97,False
2017-01-15,80,False
2017-01-22,100,False
2017-01-29,80,False
2017-02-05,84,False
2017-02-12,79,False
2017-02-19,82,False
2017-02-26,74,False
2017-03-05,84,False
2017-03-12,78,False
2017-03-19,65,False
2017-03-26,74,False
2017-04-02,70,False
2017-04-09,68,False
2017-04-16,87,False
2017-04-23,77,False
2017-04-30,76,False
2017-05-07,80,False
2017-05-14,70,False
2017-05-21,76,False
2017-05-28,68,False
2017-06-04,82,False
2017-06-11,68,False
2017-06-18,64,False
2017-06-25,96,False
2017-07-02,72,False
2017-07-09,67,False
2017-07-16,75,False
2017-07-23,80,False
2017-07-30,74,False
2017-08-06,88,False
2017-08-13,69,False
2017-08-20,81,False
2017-08-27,80,False
2017-09-03,79,False
2017-09-10,68,False
2017-09-17,72,False
2017-09-24,67,False
2017-10-01,89,False
2017-10-08,75,False
2017-10-15,89,False
2017-10-22,84,False
2017-10-29,78,False
2017-11-05,77,False
2017-11-12,79,False
2017-11-19,77,False
2017-11-26,80,False
2017-12-03,65,False
2017-12-10,73,False
2017-12-17,88,True
