date,Californium,isPartial
2016-12-25,19,False
2017-01-01,30,False
2017-01-08,52,False
2017-01-15,59,False
2017-01-22,40,False
2017-01-29,52,False
2017-02-05,46,False
2017-02-12,35,False
2017-02-19,42,False
2017-02-26,47,False
2017-03-05,53,False
2017-03-12,41,False
2017-03-19,52,False
2017-03-26,46,False
2017-04-02,44,False
2017-04-09,35,False
2017-04-16,100,False
2017-04-23,94,False
2017-04-30,55,False
2017-05-07,58,False
2017-05-14,32,False
2017-05-21,35,False
2017-05-28,40,False
2017-06-04,33,False
2017-06-11,37,False
2017-06-18,73,False
2017-06-25,39,False
2017-07-02,57,False
2017-07-09,27,False
2017-07-16,47,False
2017-07-23,39,False
2017-07-30,58,False
2017-08-06,40,False
2017-08-13,55,False
2017-08-20,52,False
2017-08-27,36,False
2017-09-03,46,False
2017-09-10,55,False
2017-09-17,52,False
2017-09-24,57,False
2017-10-01,57,False
2017-10-08,73,False
2017-10-15,83,False
2017-10-22,70,False
2017-10-29,69,False
2017-11-05,53,False
2017-11-12,52,False
2017-11-19,45,False
2017-11-26,43,False
2017-12-03,48,False
2017-12-10,55,False
2017-12-17,47,True
