date,Spots,isPartial
2016-12-25,80,False
2017-01-01,80,False
2017-01-08,75,False
2017-01-15,75,False
2017-01-22,74,False
2017-01-29,76,False
2017-02-05,75,False
2017-02-12,73,False
2017-02-19,82,False
2017-02-26,79,False
2017-03-05,78,False
2017-03-12,78,False
2017-03-19,80,False
2017-03-26,80,False
2017-04-02,82,False
2017-04-09,84,False
2017-04-16,85,False
2017-04-23,82,False
2017-04-30,82,False
2017-05-07,81,False
2017-05-14,84,False
2017-05-21,88,False
2017-05-28,93,False
2017-06-04,90,False
2017-06-11,91,False
2017-06-18,93,False
2017-06-25,95,False
2017-07-02,96,False
2017-07-09,96,False
2017-07-16,100,False
2017-07-23,92,False
2017-07-30,92,False
2017-08-06,92,False
2017-08-13,89,False
2017-08-20,89,False
2017-08-27,84,False
2017-09-03,82,False
2017-09-10,75,False
2017-09-17,78,False
2017-09-24,79,False
2017-10-01,77,False
2017-10-08,79,False
2017-10-15,78,False
2017-10-22,77,False
2017-10-29,73,False
2017-11-05,74,False
2017-11-12,74,False
2017-11-19,73,False
2017-11-26,74,False
2017-12-03,72,False
2017-12-10,68,False
2017-12-17,71,True
