date,Dash,isPartial
2017-01-01,90,False
2017-01-08,82,False
2017-01-15,87,False
2017-01-22,100,False
2017-01-29,87,False
2017-02-05,89,False
2017-02-12,86,False
2017-02-19,87,False
2017-02-26,96,False
2017-03-05,93,False
2017-03-12,89,False
2017-03-19,85,False
2017-03-26,84,False
2017-04-02,79,False
2017-04-09,79,False
2017-04-16,77,False
2017-04-23,76,False
2017-04-30,78,False
2017-05-07,75,False
2017-05-14,74,False
2017-05-21,74,False
2017-05-28,73,False
2017-06-04,71,False
2017-06-11,73,False
2017-06-18,78,False
2017-06-25,72,False
2017-07-02,72,False
2017-07-09,75,False
2017-07-16,74,False
2017-07-23,73,False
2017-07-30,74,False
2017-08-06,73,False
2017-08-13,73,False
2017-08-20,76,False
2017-08-27,72,False
2017-09-03,70,False
2017-09-10,68,False
2017-09-17,78,False
2017-09-24,82,False
2017-10-01,76,False
2017-10-08,76,False
2017-10-15,77,False
2017-10-22,79,False
2017-10-29,79,False
2017-11-05,79,False
2017-11-12,88,False
2017-11-19,88,False
2017-11-26,92,False
2017-12-03,89,False
2017-12-10,91,False
2017-12-17,93,False
2017-12-24,90,True
