date,Flash,isPartial
2016-12-25,84,False
2017-01-01,84,False
2017-01-08,84,False
2017-01-15,85,False
2017-01-22,91,False
2017-01-29,87,False
2017-02-05,88,False
2017-02-12,87,False
2017-02-19,90,False
2017-02-26,92,False
2017-03-05,93,False
2017-03-12,93,False
2017-03-19,97,False
2017-03-26,94,False
2017-04-02,93,False
2017-04-09,90,False
2017-04-16,86,False
2017-04-23,94,False
2017-04-30,100,False
2017-05-07,97,False
2017-05-14,95,False
2017-05-21,99,False
2017-05-28,84,False
2017-06-04,80,False
2017-06-11,78,False
2017-06-18,74,False
2017-06-25,72,False
2017-07-02,73,False
2017-07-09,74,False
2017-07-16,75,False
2017-07-23,75,False
2017-07-30,72,False
2017-08-06,74,False
2017-08-13,75,False
2017-08-20,74,False
2017-08-27,74,False
2017-09-03,73,False
2017-09-10,76,False
2017-09-17,76,False
2017-09-24,78,False
2017-10-01,77,False
2017-10-08,92,False
2017-10-15,92,False
2017-10-22,89,False
2017-10-29,86,False
2017-11-05,81,False
2017-11-12,83,False
2017-11-19,87,False
2017-11-26,89,False
2017-12-03,85,False
2017-12-10,80,False
2017-12-17,74,True
