date,LePen,isPartial
2016-12-25,2,False
2017-01-01,4,False
2017-01-08,4,False
2017-01-15,4,False
2017-01-22,5,False
2017-01-29,8,False
2017-02-05,14,False
2017-02-12,8,False
2017-02-19,10,False
2017-02-26,12,False
2017-03-05,9,False
2017-03-12,8,False
2017-03-19,14,False
2017-03-26,11,False
2017-04-02,13,False
2017-04-09,13,False
2017-04-16,25,False
2017-04-23,97,False
2017-04-30,100,False
2017-05-07,48,False
2017-05-14,8,False
2017-05-21,4,False
2017-05-28,3,False
2017-06-04,3,False
2017-06-11,4,False
2017-06-18,4,False
2017-06-25,3,False
2017-07-02,2,False
2017-07-09,2,False
2017-07-16,2,False
2017-07-23,1,False
2017-07-30,1,False
2017-08-06,1,False
2017-08-13,2,False
2017-08-20,2,False
2017-08-27,1,False
2017-09-03,2,False
2017-09-10,1,False
2017-09-17,2,False
2017-09-24,1,False
2017-10-01,1,False
2017-10-08,1,False
2017-10-15,2,False
2017-10-22,2,False
2017-10-29,1,False
2017-11-05,2,False
2017-11-12,1,False
2017-11-19,1,False
2017-11-26,1,False
2017-12-03,1,False
2017-12-10,2,False
2017-12-17,1,True
