date,Halloween Coin,isPartial
2016-12-25,2,False
2017-01-01,1,False
2017-01-08,3,False
2017-01-15,1,False
2017-01-22,3,False
2017-01-29,2,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,3,False
2017-03-05,1,False
2017-03-12,0,False
2017-03-19,1,False
2017-03-26,2,False
2017-04-02,1,False
2017-04-09,2,False
2017-04-16,3,False
2017-04-23,1,False
2017-04-30,4,False
2017-05-07,1,False
2017-05-14,1,False
2017-05-21,0,False
2017-05-28,0,False
2017-06-04,2,False
2017-06-11,1,False
2017-06-18,1,False
2017-06-25,2,False
2017-07-02,0,False
2017-07-09,4,False
2017-07-16,1,False
2017-07-23,2,False
2017-07-30,2,False
2017-08-06,3,False
2017-08-13,4,False
2017-08-20,4,False
2017-08-27,5,False
2017-09-03,4,False
2017-09-10,7,False
2017-09-17,16,False
2017-09-24,14,False
2017-10-01,29,False
2017-10-08,28,False
2017-10-15,57,False
2017-10-22,76,False
2017-10-29,100,False
2017-11-05,5,False
2017-11-12,4,False
2017-11-19,4,False
2017-11-26,2,False
2017-12-03,3,False
2017-12-10,4,False
2017-12-17,5,True
