date,netBit,isPartial
2016-12-25,24,False
2017-01-01,23,False
2017-01-08,22,False
2017-01-15,66,False
2017-01-22,43,False
2017-01-29,43,False
2017-02-05,32,False
2017-02-12,32,False
2017-02-19,32,False
2017-02-26,21,False
2017-03-05,52,False
2017-03-12,10,False
2017-03-19,32,False
2017-03-26,43,False
2017-04-02,65,False
2017-04-09,22,False
2017-04-16,11,False
2017-04-23,53,False
2017-04-30,21,False
2017-05-07,75,False
2017-05-14,23,False
2017-05-21,58,False
2017-05-28,46,False
2017-06-04,23,False
2017-06-11,34,False
2017-06-18,22,False
2017-06-25,23,False
2017-07-02,12,False
2017-07-09,35,False
2017-07-16,11,False
2017-07-23,34,False
2017-07-30,34,False
2017-08-06,11,False
2017-08-13,0,False
2017-08-20,100,False
2017-08-27,11,False
2017-09-03,11,False
2017-09-10,22,False
2017-09-17,21,False
2017-09-24,11,False
2017-10-01,54,False
2017-10-08,21,False
2017-10-15,0,False
2017-10-22,22,False
2017-10-29,53,False
2017-11-05,42,False
2017-11-12,31,False
2017-11-19,52,False
2017-11-26,10,False
2017-12-03,42,False
2017-12-10,74,False
2017-12-17,25,True
