date,Monero,isPartial
2016-12-25,8,False
2017-01-01,12,False
2017-01-08,7,False
2017-01-15,6,False
2017-01-22,7,False
2017-01-29,7,False
2017-02-05,5,False
2017-02-12,5,False
2017-02-19,5,False
2017-02-26,6,False
2017-03-05,5,False
2017-03-12,9,False
2017-03-19,8,False
2017-03-26,6,False
2017-04-02,6,False
2017-04-09,6,False
2017-04-16,5,False
2017-04-23,6,False
2017-04-30,8,False
2017-05-07,8,False
2017-05-14,11,False
2017-05-21,18,False
2017-05-28,15,False
2017-06-04,15,False
2017-06-11,17,False
2017-06-18,15,False
2017-06-25,15,False
2017-07-02,12,False
2017-07-09,13,False
2017-07-16,12,False
2017-07-23,13,False
2017-07-30,13,False
2017-08-06,14,False
2017-08-13,13,False
2017-08-20,41,False
2017-08-27,38,False
2017-09-03,24,False
2017-09-10,22,False
2017-09-17,26,False
2017-09-24,21,False
2017-10-01,20,False
2017-10-08,18,False
2017-10-15,20,False
2017-10-22,20,False
2017-10-29,21,False
2017-11-05,31,False
2017-11-12,29,False
2017-11-19,32,False
2017-11-26,50,False
2017-12-03,86,False
2017-12-10,87,False
2017-12-17,100,True
