date,USDMXN,USDTRY,USDILS,USDCNH,USDCNY
2013-01-06,2,2,48,9,9
2013-01-13,2,7,37,7,8
2013-01-20,3,6,20,11,5
2013-01-27,3,4,20,15,7
2013-02-03,2,4,58,7,6
2013-02-10,2,3,20,6,4
2013-02-17,1,5,36,4,6
2013-02-24,3,3,34,9,7
2013-03-03,2,4,58,11,7
2013-03-10,1,3,28,6,6
2013-03-17,1,5,29,12,5
2013-03-24,2,3,61,4,6
2013-03-31,3,4,34,7,6
2013-04-07,2,6,100,11,6
2013-04-14,2,6,53,7,7
2013-04-21,3,5,40,7,14
2013-04-28,3,3,66,6,7
2013-05-05,4,3,51,4,13
2013-05-12,4,6,43,4,7
2013-05-19,2,5,79,13,11
2013-05-26,4,4,79,7,12
2013-06-02,3,8,57,12,8
2013-06-09,2,8,56,4,11
2013-06-16,4,8,50,4,9
2013-06-23,4,8,79,4,13
2013-06-30,3,4,52,16,9
2013-07-07,3,8,35,4,9
2013-07-14,2,4,74,7,9
2013-07-21,3,5,29,0,5
2013-07-28,1,5,23,0,7
2013-08-04,2,8,35,7,6
2013-08-11,5,7,37,6,9
2013-08-18,5,12,21,4,8
2013-08-25,4,17,56,4,8
2013-09-01,3,11,49,0,5
2013-09-08,4,13,41,4,7
2013-09-15,4,15,88,0,7
2013-09-22,2,7,75,5,9
2013-09-29,3,6,40,3,3
2013-10-06,3,4,61,5,5
2013-10-13,3,6,41,5,12
2013-10-20,3,3,47,5,8
2013-10-27,2,5,27,4,7
2013-11-03,5,7,31,5,10
2013-11-10,4,5,47,5,9
2013-11-17,3,6,45,6,11
2013-11-24,1,5,33,5,5
2013-12-01,2,3,18,4,8
2013-12-08,2,6,54,14,7
2013-12-15,2,9,41,8,8
2013-12-22,3,16,37,6,6
2013-12-29,2,12,39,4,9
2014-01-05,2,7,35,5,8
2014-01-12,3,11,17,7,11
2014-01-19,4,18,31,13,7
2014-01-26,4,47,25,12,9
2014-02-02,4,19,33,6,7
2014-02-09,3,10,18,3,9
2014-02-16,3,12,30,15,13
2014-02-23,2,14,43,37,42
2014-03-02,2,14,38,25,21
2014-03-09,1,8,20,18,19
2014-03-16,3,10,39,22,41
2014-03-23,1,12,37,23,26
2014-03-30,2,14,25,20,20
2014-04-06,2,8,39,11,16
2014-04-13,1,5,21,14,10
2014-04-20,2,10,18,14,17
2014-04-27,1,5,51,8,19
2014-05-04,4,7,51,18,18
2014-05-11,1,8,25,9,13
2014-05-18,1,6,33,9,10
2014-05-25,2,10,19,13,14
2014-06-01,3,6,49,17,7
2014-06-08,2,7,35,13,11
2014-06-15,2,11,26,4,8
2014-06-22,1,7,58,11,9
2014-06-29,3,6,36,7,6
2014-07-06,3,5,39,11,7
2014-07-13,1,7,20,8,5
2014-07-20,1,7,21,9,6
2014-07-27,2,12,23,11,7
2014-08-03,1,15,20,20,9
2014-08-10,3,11,42,17,5
2014-08-17,2,13,38,14,4
2014-08-24,2,9,61,8,7
2014-08-31,2,8,53,10,6
2014-09-07,2,13,60,10,10
2014-09-14,2,11,26,10,9
2014-09-21,3,11,46,7,9
2014-09-28,2,20,26,14,7
2014-10-05,3,22,53,10,8
2014-10-12,3,12,65,7,7
2014-10-19,3,19,39,6,4
2014-10-26,3,11,71,7,7
2014-11-02,3,8,50,12,10
2014-11-09,3,9,44,8,9
2014-11-16,2,8,30,16,11
2014-11-23,2,7,57,17,10
2014-11-30,4,6,87,9,7
2014-12-07,7,15,89,12,18
2014-12-14,5,28,53,4,14
2014-12-21,3,11,20,8,7
2014-12-28,2,9,38,9,8
2015-01-04,5,9,50,10,10
2015-01-11,5,10,60,11,11
2015-01-18,4,10,72,18,16
2015-01-25,5,17,53,15,17
2015-02-01,4,16,36,26,18
2015-02-08,5,19,30,7,11
2015-02-15,3,8,36,7,8
2015-02-22,4,14,41,11,18
2015-03-01,3,27,47,13,19
2015-03-08,6,21,47,16,14
2015-03-15,3,23,83,13,13
2015-03-22,3,16,32,19,9
2015-03-29,3,17,59,5,11
2015-04-05,4,19,38,10,10
2015-04-12,3,21,41,7,11
2015-04-19,5,16,36,9,8
2015-04-26,3,19,42,11,8
2015-05-03,3,20,24,6,10
2015-05-10,3,16,0,5,7
2015-05-17,2,17,28,6,7
2015-05-24,3,13,16,6,7
2015-05-31,4,19,56,6,8
2015-06-07,3,39,24,10,5
2015-06-14,4,19,47,10,7
2015-06-21,2,18,59,7,6
2015-06-28,5,16,42,7,5
2015-07-05,5,15,54,12,14
2015-07-12,4,18,49,9,7
2015-07-19,7,23,57,11,10
2015-07-26,5,22,47,14,10
2015-08-02,6,20,60,9,5
2015-08-09,5,24,57,84,100
2015-08-16,9,43,53,37,37
2015-08-23,10,25,58,53,38
2015-08-30,9,21,29,23,25
2015-09-06,4,26,40,49,16
2015-09-13,5,29,28,28,16
2015-09-20,7,17,34,31,13
2015-09-27,7,21,44,22,9
2015-10-04,4,29,44,14,10
2015-10-11,4,30,35,16,11
2015-10-18,4,16,27,13,9
2015-10-25,4,21,39,17,17
2015-11-01,5,44,60,20,15
2015-11-08,4,26,26,21,14
2015-11-15,5,21,60,19,15
2015-11-22,3,29,33,23,12
2015-11-29,3,27,59,21,21
2015-12-06,6,25,26,41,26
2015-12-13,8,28,45,55,28
2015-12-20,4,25,43,28,11
2015-12-27,4,16,68,37,18
2016-01-03,7,34,65,100,59
2016-01-10,10,28,34,92,45
2016-01-17,12,18,29,48,24
2016-01-24,7,26,52,36,20
2016-01-31,5,25,40,45,26
2016-02-07,8,26,23,20,16
2016-02-14,10,27,31,31,25
2016-02-21,8,20,45,25,14
2016-02-28,7,28,61,16,19
2016-03-06,6,26,45,17,14
2016-03-13,6,32,57,12,16
2016-03-20,5,31,18,9,15
2016-03-27,6,25,75,21,14
2016-04-03,6,26,40,10,9
2016-04-10,7,20,63,12,9
2016-04-17,5,18,57,9,11
2016-04-24,5,20,51,10,13
2016-05-01,4,31,52,16,12
2016-05-08,6,23,69,13,11
2016-05-15,7,23,45,15,13
2016-05-22,7,26,37,21,13
2016-05-29,7,23,18,17,24
2016-06-05,9,22,35,15,10
2016-06-12,6,22,48,14,19
2016-06-19,14,27,59,16,25
2016-06-26,11,25,53,40,33
2016-07-03,8,14,56,27,22
2016-07-10,4,48,36,13,17
2016-07-17,5,96,56,16,14
2016-07-24,7,26,49,10,11
2016-07-31,5,27,43,8,14
2016-08-07,6,25,35,8,11
2016-08-14,7,21,20,19,8
2016-08-21,6,17,25,15,10
2016-08-28,7,19,66,11,17
2016-09-04,6,18,67,12,13
2016-09-11,13,13,48,7,12
2016-09-18,13,17,71,10,11
2016-09-25,19,25,35,11,7
2016-10-02,8,21,52,16,10
2016-10-09,17,26,27,28,20
2016-10-16,14,23,23,29,22
2016-10-23,11,18,32,38,22
2016-10-30,22,27,48,22,22
2016-11-06,100,47,45,38,33
2016-11-13,26,51,46,47,43
2016-11-20,12,43,51,29,38
2016-11-27,12,56,39,12,28
2016-12-04,11,74,76,43,94
2016-12-11,11,59,44,19,41
2016-12-18,9,36,41,27,30
2016-12-25,6,25,24,25,34
2017-01-01,21,41,46,51,31
2017-01-08,23,100,42,37,24
2017-01-15,21,56,38,14,21
2017-01-22,30,60,27,12,15
2017-01-29,18,58,58,8,12
2017-02-05,17,44,44,17,11
2017-02-12,14,32,47,12,8
2017-02-19,17,33,42,15,10
2017-02-26,14,41,73,12,11
2017-03-05,13,30,63,9,10
2017-03-12,14,38,52,15,15
2017-03-19,12,30,26,11,11
2017-03-26,12,31,53,12,13
2017-04-02,12,30,37,8,12
2017-04-09,9,38,44,10,9
2017-04-16,10,56,44,6,8
2017-04-23,17,40,42,9,8
2017-04-30,8,36,27,4,9
2017-05-07,11,30,48,8,9
2017-05-14,9,36,34,7,8
2017-05-21,11,34,68,7,11
2017-05-28,9,30,34,21,13
2017-06-04,12,36,39,13,10
2017-06-11,13,33,39,5,10
2017-06-18,11,28,77,7,11
2017-06-25,12,16,57,12,10
2017-07-02,8,36,52,5,12
2017-07-09,10,21,46,5,9
2017-07-16,10,26,40,4,11
2017-07-23,11,26,68,6,13
2017-07-30,7,21,89,5,11
2017-08-06,9,22,71,16,14
2017-08-13,8,14,56,9,8
2017-08-20,10,22,69,11,10
2017-08-27,7,19,50,14,12
2017-09-03,6,23,60,10,20
2017-09-10,6,29,38,9,19
2017-09-17,8,28,51,12,12
2017-09-24,9,32,54,6,14
2017-10-01,8,24,21,7,8
2017-10-08,12,62,43,11,9
2017-10-15,15,26,75,6,8
2017-10-22,12,50,69,8,10
2017-10-29,12,41,36,5,6
2017-11-05,7,38,35,9,8
2017-11-12,8,36,32,7,7
2017-11-19,7,57,50,6,9
2017-11-26,12,48,97,5,20
2017-12-03,10,42,78,5,17
2017-12-10,11,43,62,8,18
2017-12-17,14,34,86,6,4
2017-12-24,17,35,64,12,10
2017-12-31,9,12,79,0,18
