date,USDMXN,USDTRY,USDILS,USDCNH,USDCNY,USDSGD,USDHKD,USDBRL,USDTWD,USDZAR,USDPLN,USDHUF,USDCZK,USDRUB,USDEUR,USDGBP,USDTRL,USDMAD,USDSOS,USDCHF,USDCAD,USDCOP,USDPEN,USDARS,USDNOK,USDDKK,USDNZD,USDAUD,USDKRW,USDCLP,ARSUSD,ARSCNY,ARSBRL,ARSRUB,ARSEUR,ARSGBP,ARSCHF,ARSCAD,ARSAUD,AUDUSD,AUDTRY,AUDILS,AUDCNY,AUDSGD,AUDHKD,AUDKRW,AUDBRL,AUDTWD,AUDZAR,AUDPLN,AUDHUF,AUDCZK,AUDRUB,AUDEUR,AUDGBP,AUDCHF,AUDCAD,AUDARS,AUDNOK,AUDDKK,AUDNZD,BRLUSD,BRLCNY,BRLKRW,BRLRUB,BRLGBP,BRLCHF,BRLCAD,BRLCLP,BRLEUR,BRLARS,CADMXN,CADUSD,CADTRY,CADILS,CADCNY,CADSGD,CADHKD,CADKRW,CADBRL,CADTWD,CADZAR,CADPLN,CADHUF,CADCZK,CADRUB,CADEUR,CADGBP,CADMAD,CADCHF,CADCOP,CADARS,CADNOK,CADDKK,CADNZD,CADAUD,CHFMXN,CHFUSD,CHFTRY,CHFILS,CHFCNY,CHFSGD,CHFHKD,CHFKRW,CHFBRL,CHFZAR,CHFPLN,CHFHUF,CHFCZK,CHFRUB,CHFEUR,CHFGBP,CHFCAD,CHFNOK,CHFDKK,CHFNZD,CHFAUD,CLPUSD,CNHUSD,CNHHKD,CNYUSD,CNYCNH,CNYSGD,CNYHKD,CNYKRW,CNYTWD,CNYRUB,CNYEUR,CNYGBP,CNYCHF,CNYCAD,CNYNZD,CNYAUD
2013-01-06,2,2,48,9,9,20,26,9,15,5,31,35,19,0,31,4,80,0,0,5,13,36,0,0,22,27,23,13,28,19,47,0,0,0,0,0,47,0,0,33,19,0,24,25,38,0,0,18,41,0,0,0,0,32,10,22,15,0,92,0,9,58,0,0,0,0,61,28,0,0,0,0,10,0,0,43,32,0,0,0,57,0,62,44,0,0,0,24,0,32,0,39,52,0,0,0,0,6,0,51,0,0,0,0,54,0,13,13,0,0,0,38,33,27,0,68,0,0,44,0,22,0,0,23,0,0,0,0,0,0,0,0,0
2013-01-13,2,7,37,7,8,20,14,8,12,7,24,0,0,1,26,3,0,0,0,13,10,20,0,0,36,16,0,15,45,29,60,0,0,0,0,0,0,0,0,30,24,51,0,30,47,0,0,0,36,0,0,0,0,53,7,27,20,0,60,0,15,0,0,0,0,0,0,50,0,0,0,0,9,0,0,84,0,32,0,0,0,0,0,0,0,0,11,0,0,0,76,36,68,0,0,0,0,13,44,50,0,37,43,0,0,0,10,14,0,0,7,25,0,0,0,0,0,45,0,0,19,0,0,27,0,0,0,0,0,0,0,0,0
2013-01-20,3,6,20,11,5,19,9,6,14,10,21,17,22,1,18,5,0,0,0,8,16,18,19,27,30,31,22,8,45,0,0,0,0,0,0,0,0,0,0,27,0,51,32,22,32,0,52,0,35,0,0,0,0,55,8,32,21,0,0,0,22,28,0,0,0,0,60,71,0,49,0,43,16,0,0,54,0,0,0,0,0,0,0,0,0,0,0,31,0,27,0,27,0,34,0,0,0,11,0,0,0,38,0,0,0,0,7,0,0,0,4,25,42,0,78,0,0,45,0,0,14,0,0,30,0,0,0,43,0,0,86,0,0
2013-01-27,3,4,20,15,7,35,16,13,23,13,9,25,19,1,21,5,0,0,0,10,17,30,19,46,24,22,21,17,71,0,0,0,0,0,0,0,61,0,0,35,14,0,35,17,27,0,0,17,70,44,0,0,0,26,23,32,10,0,0,0,35,0,0,0,0,0,0,25,0,0,0,0,6,0,0,31,0,0,0,0,0,0,0,0,0,0,14,0,0,27,0,25,0,0,0,0,0,7,75,36,44,45,100,0,0,0,8,14,0,0,5,37,0,26,77,0,0,0,0,32,25,0,0,20,0,32,0,0,52,0,0,0,0
2013-02-03,2,4,58,7,6,31,24,9,20,6,23,37,0,1,28,8,0,43,0,14,16,30,0,0,13,26,58,10,48,28,0,0,0,0,100,0,0,0,0,35,14,0,27,17,16,0,0,0,35,0,0,0,0,18,12,47,25,0,0,0,23,0,0,0,0,0,0,57,0,0,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,0,0,0,25,0,0,0,42,85,13,38,100,0,0,0,0,0,0,16,13,0,0,12,28,0,0,77,0,0,51,0,0,14,0,0,15,0,43,0,0,0,0,0,0,0
2013-02-10,2,3,20,6,4,21,15,12,12,8,17,34,0,1,21,3,79,0,0,8,13,18,0,0,14,16,22,10,32,19,0,0,0,0,0,0,46,0,0,38,19,0,0,26,16,49,39,17,36,0,43,0,0,31,12,28,10,47,0,0,22,28,0,0,0,56,0,37,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,29,0,34,0,43,0,6,0,51,0,34,76,0,41,0,11,15,0,0,4,0,0,31,0,0,0,52,0,33,0,0,0,15,0,33,0,0,53,0,0,0,52
2013-02-17,1,5,36,4,6,26,20,9,10,6,27,24,100,0,21,7,0,0,0,7,21,35,0,31,12,31,29,29,34,19,44,0,0,0,0,0,0,0,0,39,0,0,24,30,30,62,38,19,0,0,0,0,0,26,17,20,29,0,0,0,16,28,77,0,0,0,0,25,0,49,0,0,16,0,0,45,31,0,0,0,0,0,0,42,0,0,12,47,0,31,0,42,0,0,0,0,0,8,100,0,58,33,37,0,0,0,9,0,0,0,11,25,31,0,0,0,0,0,32,0,0,0,0,38,0,0,0,56,0,0,0,0,0
2013-02-24,3,3,34,9,7,16,14,8,0,2,23,36,19,0,22,8,0,0,88,13,16,23,0,0,20,44,0,18,27,43,44,0,0,0,0,0,45,0,0,40,18,0,25,30,16,0,0,23,0,32,37,0,0,34,14,18,28,0,43,0,12,73,0,0,0,0,0,61,0,56,0,0,16,0,0,30,30,0,50,0,0,0,0,55,0,0,12,23,0,27,0,48,0,0,0,81,0,9,0,0,0,0,0,0,0,0,13,0,0,0,7,41,0,0,0,0,0,0,0,0,12,62,0,29,0,32,0,42,0,0,0,0,0
2013-03-03,2,4,58,11,7,36,12,15,9,6,13,54,0,1,32,5,0,0,0,14,19,17,0,0,41,23,28,9,27,21,0,0,0,0,0,0,51,0,0,40,14,57,34,29,26,47,0,0,0,0,0,0,44,30,7,18,17,60,50,0,25,31,0,0,0,47,0,80,0,0,0,0,17,0,0,31,40,23,0,0,0,0,44,0,0,0,21,0,0,27,0,37,0,0,0,0,0,12,0,0,0,33,37,0,0,49,10,13,0,0,8,28,0,0,100,0,0,0,42,0,27,0,64,0,0,0,0,84,39,0,0,0,0
2013-03-10,1,3,28,6,6,17,15,8,15,6,9,42,21,0,20,9,0,0,0,12,17,39,0,26,17,26,24,8,33,18,58,0,0,0,0,0,87,0,0,38,15,0,46,29,36,0,0,0,0,0,0,0,0,30,14,33,59,0,0,0,22,27,0,0,0,0,0,32,0,41,0,31,9,0,33,0,34,34,0,0,0,43,58,0,0,0,21,23,0,26,0,41,97,0,54,0,0,8,0,0,0,0,0,62,78,0,18,14,0,0,9,24,0,0,0,0,0,0,0,0,21,0,0,14,0,0,0,41,37,0,0,0,0
