date,MADSOS,isPartial
2013-01-06,0,False
2013-01-13,16,False
2013-01-20,100,False
2013-01-27,82,False
2013-02-03,24,False
2013-02-10,16,False
2013-02-17,35,False
2013-02-24,23,False
2013-03-03,17,False
2013-03-10,24,False
2013-03-17,36,False
2013-03-24,0,False
2013-03-31,16,False
2013-04-07,24,False
2013-04-14,0,False
2013-04-21,18,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,0,False
2013-05-19,0,False
2013-05-26,16,False
2013-06-02,21,False
2013-06-09,34,False
2013-06-16,24,False
2013-06-23,0,False
2013-06-30,0,False
2013-07-07,16,False
2013-07-14,33,False
2013-07-21,16,False
2013-07-28,18,False
2013-08-04,0,False
2013-08-11,0,False
2013-08-18,0,False
2013-08-25,0,False
2013-09-01,15,False
2013-09-08,27,False
2013-09-15,0,False
2013-09-22,15,False
2013-09-29,0,False
2013-10-06,15,False
2013-10-13,15,False
2013-10-20,19,False
2013-10-27,0,False
2013-11-03,15,False
2013-11-10,15,False
2013-11-17,15,False
2013-11-24,0,False
2013-12-01,28,False
2013-12-08,15,False
2013-12-15,15,False
2013-12-22,17,False
2013-12-29,16,False
2014-01-05,16,False
2014-01-12,0,False
2014-01-19,0,False
2014-01-26,0,False
2014-02-02,14,False
2014-02-09,14,False
2014-02-16,14,False
2014-02-23,14,False
2014-03-02,18,False
2014-03-09,0,False
2014-03-16,15,False
2014-03-23,18,False
2014-03-30,21,False
2014-04-06,30,False
2014-04-13,14,False
2014-04-20,14,False
2014-04-27,14,False
2014-05-04,0,False
2014-05-11,0,False
2014-05-18,0,False
2014-05-25,0,False
2014-06-01,0,False
2014-06-08,0,False
2014-06-15,21,False
2014-06-22,15,False
2014-06-29,0,False
2014-07-06,15,False
2014-07-13,0,False
2014-07-20,0,False
2014-07-27,16,False
2014-08-03,0,False
2014-08-10,0,False
2014-08-17,15,False
2014-08-24,15,False
2014-08-31,0,False
2014-09-07,19,False
2014-09-14,0,False
2014-09-21,19,False
2014-09-28,0,False
2014-10-05,33,False
2014-10-12,0,False
2014-10-19,0,False
2014-10-26,14,False
2014-11-02,0,False
2014-11-09,0,False
2014-11-16,14,False
2014-11-23,0,False
2014-11-30,0,False
2014-12-07,0,False
2014-12-14,14,False
2014-12-21,0,False
2014-12-28,15,False
2015-01-04,16,False
2015-01-11,0,False
2015-01-18,0,False
2015-01-25,0,False
2015-02-01,13,False
2015-02-08,0,False
2015-02-15,0,False
2015-02-22,17,False
2015-03-01,0,False
2015-03-08,17,False
2015-03-15,0,False
2015-03-22,0,False
2015-03-29,0,False
2015-04-05,0,False
2015-04-12,13,False
2015-04-19,13,False
2015-04-26,13,False
2015-05-03,13,False
2015-05-10,13,False
2015-05-17,13,False
2015-05-24,0,False
2015-05-31,0,False
2015-06-07,0,False
2015-06-14,13,False
2015-06-21,13,False
2015-06-28,0,False
2015-07-05,0,False
2015-07-12,13,False
2015-07-19,13,False
2015-07-26,20,False
2015-08-02,0,False
2015-08-09,18,False
2015-08-16,13,False
2015-08-23,0,False
2015-08-30,13,False
2015-09-06,17,False
2015-09-13,0,False
2015-09-20,0,False
2015-09-27,12,False
2015-10-04,0,False
2015-10-11,0,False
2015-10-18,0,False
2015-10-25,16,False
2015-11-01,0,False
2015-11-08,16,False
2015-11-15,0,False
2015-11-22,24,False
2015-11-29,12,False
2015-12-06,12,False
2015-12-13,12,False
2015-12-20,0,False
2015-12-27,18,False
2016-01-03,0,False
2016-01-10,13,False
2016-01-17,13,False
2016-01-24,0,False
2016-01-31,0,False
2016-02-07,15,False
2016-02-14,13,False
2016-02-21,12,False
2016-02-28,12,False
2016-03-06,12,False
2016-03-13,0,False
2016-03-20,13,False
2016-03-27,0,False
2016-04-03,13,False
2016-04-10,0,False
2016-04-17,0,False
2016-04-24,13,False
2016-05-01,0,False
2016-05-08,0,False
2016-05-15,13,False
2016-05-22,0,False
2016-05-29,26,False
2016-06-05,0,False
2016-06-12,25,False
2016-06-19,0,False
2016-06-26,13,False
2016-07-03,0,False
2016-07-10,0,False
2016-07-17,14,False
2016-07-24,0,False
2016-07-31,18,False
2016-08-07,0,False
2016-08-14,29,False
2016-08-21,14,False
2016-08-28,0,False
2016-09-04,0,False
2016-09-11,13,False
2016-09-18,0,False
2016-09-25,0,False
2016-10-02,13,False
2016-10-09,17,False
2016-10-16,13,False
2016-10-23,13,False
2016-10-30,0,False
2016-11-06,19,False
2016-11-13,13,False
2016-11-20,13,False
2016-11-27,0,False
2016-12-04,0,False
2016-12-11,16,False
2016-12-18,0,False
2016-12-25,13,False
2017-01-01,0,False
2017-01-08,12,False
2017-01-15,16,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,12,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,11,False
2017-03-12,11,False
2017-03-19,0,False
2017-03-26,16,False
2017-04-02,0,False
2017-04-09,14,False
2017-04-16,12,False
2017-04-23,12,False
2017-04-30,0,False
2017-05-07,13,False
2017-05-14,12,False
2017-05-21,13,False
2017-05-28,0,False
2017-06-04,12,False
2017-06-11,0,False
2017-06-18,0,False
2017-06-25,0,False
2017-07-02,13,False
2017-07-09,13,False
2017-07-16,13,False
2017-07-23,17,False
2017-07-30,0,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,14,False
2017-08-27,12,False
2017-09-03,12,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,12,False
2017-10-01,12,False
2017-10-08,23,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,0,False
2017-11-05,0,False
2017-11-12,11,False
2017-11-19,11,False
2017-11-26,0,False
2017-12-03,12,False
2017-12-10,11,False
2017-12-17,0,False
2017-12-24,0,False
2017-12-31,0,True
