date,USDARS,isPartial
2013-01-06,0,False
2013-01-13,0,False
2013-01-20,27,False
2013-01-27,46,False
2013-02-03,0,False
2013-02-10,0,False
2013-02-17,31,False
2013-02-24,0,False
2013-03-03,0,False
2013-03-10,26,False
2013-03-17,0,False
2013-03-24,27,False
2013-03-31,0,False
2013-04-07,30,False
2013-04-14,0,False
2013-04-21,0,False
2013-04-28,0,False
2013-05-05,36,False
2013-05-12,26,False
2013-05-19,26,False
2013-05-26,0,False
2013-06-02,0,False
2013-06-09,44,False
2013-06-16,0,False
2013-06-23,35,False
2013-06-30,0,False
2013-07-07,0,False
2013-07-14,0,False
2013-07-21,36,False
2013-07-28,53,False
2013-08-04,0,False
2013-08-11,27,False
2013-08-18,26,False
2013-08-25,25,False
2013-09-01,0,False
2013-09-08,0,False
2013-09-15,25,False
2013-09-22,0,False
2013-09-29,24,False
2013-10-06,33,False
2013-10-13,0,False
2013-10-20,32,False
2013-10-27,25,False
2013-11-03,26,False
2013-11-10,0,False
2013-11-17,0,False
2013-11-24,0,False
2013-12-01,24,False
2013-12-08,24,False
2013-12-15,25,False
2013-12-22,54,False
2013-12-29,26,False
2014-01-05,41,False
2014-01-12,0,False
2014-01-19,83,False
2014-01-26,100,False
2014-02-02,35,False
2014-02-09,24,False
2014-02-16,39,False
2014-02-23,0,False
2014-03-02,0,False
2014-03-09,23,False
2014-03-16,68,False
2014-03-23,23,False
2014-03-30,23,False
2014-04-06,61,False
2014-04-13,0,False
2014-04-20,31,False
2014-04-27,23,False
2014-05-04,0,False
2014-05-11,0,False
2014-05-18,24,False
2014-05-25,51,False
2014-06-01,0,False
2014-06-08,34,False
2014-06-15,26,False
2014-06-22,26,False
2014-06-29,26,False
2014-07-06,26,False
2014-07-13,0,False
2014-07-20,35,False
2014-07-27,57,False
2014-08-03,27,False
2014-08-10,0,False
2014-08-17,0,False
2014-08-24,0,False
2014-08-31,0,False
2014-09-07,32,False
2014-09-14,24,False
2014-09-21,32,False
2014-09-28,42,False
2014-10-05,0,False
2014-10-12,0,False
2014-10-19,24,False
2014-10-26,24,False
2014-11-02,23,False
2014-11-09,39,False
2014-11-16,0,False
2014-11-23,0,False
2014-11-30,41,False
2014-12-07,0,False
2014-12-14,27,False
2014-12-21,0,False
2014-12-28,43,False
2015-01-04,0,False
2015-01-11,22,False
2015-01-18,29,False
2015-01-25,22,False
2015-02-01,37,False
2015-02-08,22,False
2015-02-15,22,False
2015-02-22,58,False
2015-03-01,64,False
2015-03-08,21,False
2015-03-15,21,False
2015-03-22,0,False
2015-03-29,0,False
2015-04-05,0,False
2015-04-12,22,False
2015-04-19,0,False
2015-04-26,59,False
2015-05-03,0,False
2015-05-10,22,False
2015-05-17,21,False
2015-05-24,0,False
2015-05-31,0,False
2015-06-07,0,False
2015-06-14,22,False
2015-06-21,25,False
2015-06-28,25,False
2015-07-05,22,False
2015-07-12,0,False
2015-07-19,0,False
2015-07-26,0,False
2015-08-02,0,False
2015-08-09,25,False
2015-08-16,21,False
2015-08-23,21,False
2015-08-30,24,False
2015-09-06,0,False
2015-09-13,20,False
2015-09-20,21,False
2015-09-27,0,False
2015-10-04,40,False
2015-10-11,20,False
2015-10-18,40,False
2015-10-25,27,False
2015-11-01,57,False
2015-11-08,57,False
2015-11-15,20,False
2015-11-22,20,False
2015-11-29,20,False
2015-12-06,40,False
2015-12-13,89,False
2015-12-20,58,False
2015-12-27,26,False
2016-01-03,32,False
2016-01-10,52,False
2016-01-17,23,False
2016-01-24,63,False
2016-01-31,42,False
2016-02-07,31,False
2016-02-14,47,False
2016-02-21,22,False
2016-02-28,23,False
2016-03-06,53,False
2016-03-13,31,False
2016-03-20,43,False
2016-03-27,28,False
2016-04-03,31,False
2016-04-10,21,False
2016-04-17,0,False
2016-04-24,41,False
2016-05-01,36,False
2016-05-08,21,False
2016-05-15,21,False
2016-05-22,21,False
2016-05-29,37,False
2016-06-05,0,False
2016-06-12,31,False
2016-06-19,31,False
2016-06-26,31,False
2016-07-03,0,False
2016-07-10,25,False
2016-07-17,26,False
2016-07-24,67,False
2016-07-31,30,False
2016-08-07,23,False
2016-08-14,0,False
2016-08-21,39,False
2016-08-28,65,False
2016-09-04,59,False
2016-09-11,29,False
2016-09-18,21,False
2016-09-25,31,False
2016-10-02,24,False
2016-10-09,22,False
2016-10-16,32,False
2016-10-23,21,False
2016-10-30,24,False
2016-11-06,45,False
2016-11-13,38,False
2016-11-20,21,False
2016-11-27,0,False
2016-12-04,43,False
2016-12-11,40,False
2016-12-18,22,False
2016-12-25,25,False
2017-01-01,23,False
2017-01-08,0,False
2017-01-15,29,False
2017-01-22,19,False
2017-01-29,38,False
2017-02-05,35,False
2017-02-12,0,False
2017-02-19,39,False
2017-02-26,22,False
2017-03-05,19,False
2017-03-12,19,False
2017-03-19,19,False
2017-03-26,33,False
2017-04-02,33,False
2017-04-09,35,False
2017-04-16,39,False
2017-04-23,28,False
2017-04-30,20,False
2017-05-07,33,False
2017-05-14,30,False
2017-05-21,21,False
2017-05-28,24,False
2017-06-04,20,False
2017-06-11,35,False
2017-06-18,23,False
2017-06-25,38,False
2017-07-02,62,False
2017-07-09,84,False
